[11:53:14] allocating 2× 128 KB buffers
[11:53:14] entering high-launch-rate memcpy loop
[11:53:14] copies=10000 rate=140131/s BW=36.7 GB/s elapsed=0.1s
[11:53:14] copies=20000 rate=140619/s BW=36.9 GB/s elapsed=0.1s
[11:53:14] copies=30000 rate=140835/s BW=36.9 GB/s elapsed=0.2s
[11:53:14] copies=40000 rate=140153/s BW=36.7 GB/s elapsed=0.3s
[11:53:14] copies=50000 rate=140534/s BW=36.8 GB/s elapsed=0.4s
[11:53:14] copies=60000 rate=140861/s BW=36.9 GB/s elapsed=0.4s
[11:53:15] copies=70000 rate=141112/s BW=37.0 GB/s elapsed=0.5s
[11:53:15] copies=80000 rate=141231/s BW=37.0 GB/s elapsed=0.6s
[11:53:15] copies=90000 rate=141371/s BW=37.1 GB/s elapsed=0.6s
[11:53:15] copies=100000 rate=141438/s BW=37.1 GB/s elapsed=0.7s
[11:53:15] copies=110000 rate=141513/s BW=37.1 GB/s elapsed=0.8s
[11:53:15] copies=120000 rate=141568/s BW=37.1 GB/s elapsed=0.8s
[11:53:15] copies=130000 rate=141638/s BW=37.1 GB/s elapsed=0.9s
[11:53:15] copies=140000 rate=141584/s BW=37.1 GB/s elapsed=1.0s
[11:53:15] copies=150000 rate=141317/s BW=37.0 GB/s elapsed=1.1s
[11:53:15] copies=160000 rate=141064/s BW=37.0 GB/s elapsed=1.1s
[11:53:15] copies=170000 rate=140853/s BW=36.9 GB/s elapsed=1.2s
[11:53:15] copies=180000 rate=140705/s BW=36.9 GB/s elapsed=1.3s
[11:53:15] copies=190000 rate=140732/s BW=36.9 GB/s elapsed=1.4s
[11:53:15] copies=200000 rate=140737/s BW=36.9 GB/s elapsed=1.4s
[11:53:16] copies=210000 rate=140780/s BW=36.9 GB/s elapsed=1.5s
[11:53:16] copies=220000 rate=140790/s BW=36.9 GB/s elapsed=1.6s
[11:53:16] copies=230000 rate=140848/s BW=36.9 GB/s elapsed=1.6s
[11:53:16] copies=240000 rate=140888/s BW=36.9 GB/s elapsed=1.7s
[11:53:16] copies=250000 rate=140964/s BW=37.0 GB/s elapsed=1.8s
[11:53:16] copies=260000 rate=140968/s BW=37.0 GB/s elapsed=1.8s
[11:53:16] copies=270000 rate=140990/s BW=37.0 GB/s elapsed=1.9s
[11:53:16] copies=280000 rate=141032/s BW=37.0 GB/s elapsed=2.0s
[11:53:16] copies=290000 rate=141070/s BW=37.0 GB/s elapsed=2.1s
[11:53:16] copies=300000 rate=141109/s BW=37.0 GB/s elapsed=2.1s
[11:53:16] copies=310000 rate=141143/s BW=37.0 GB/s elapsed=2.2s
[11:53:16] copies=320000 rate=141174/s BW=37.0 GB/s elapsed=2.3s
[11:53:16] copies=330000 rate=141097/s BW=37.0 GB/s elapsed=2.3s
[11:53:16] copies=340000 rate=140985/s BW=37.0 GB/s elapsed=2.4s
[11:53:17] copies=350000 rate=140855/s BW=36.9 GB/s elapsed=2.5s
