[11:53:47] allocating 2× 128 KB buffers
[11:53:48] entering high-launch-rate memcpy loop
[11:53:48] copies=10000 rate=139394/s BW=36.5 GB/s elapsed=0.1s
[11:53:48] copies=20000 rate=140018/s BW=36.7 GB/s elapsed=0.1s
[11:53:48] copies=30000 rate=140162/s BW=36.7 GB/s elapsed=0.2s
[11:53:48] copies=40000 rate=139488/s BW=36.6 GB/s elapsed=0.3s
[11:53:48] copies=50000 rate=139716/s BW=36.6 GB/s elapsed=0.4s
[11:53:48] copies=60000 rate=139862/s BW=36.7 GB/s elapsed=0.4s
[11:53:48] copies=70000 rate=139924/s BW=36.7 GB/s elapsed=0.5s
[11:53:48] copies=80000 rate=140027/s BW=36.7 GB/s elapsed=0.6s
[11:53:48] copies=90000 rate=140110/s BW=36.7 GB/s elapsed=0.6s
[11:53:48] copies=100000 rate=140177/s BW=36.7 GB/s elapsed=0.7s
[11:53:48] copies=110000 rate=140200/s BW=36.8 GB/s elapsed=0.8s
[11:53:49] copies=120000 rate=140209/s BW=36.8 GB/s elapsed=0.9s
[11:53:49] copies=130000 rate=140227/s BW=36.8 GB/s elapsed=0.9s
[11:53:49] copies=140000 rate=140102/s BW=36.7 GB/s elapsed=1.0s
[11:53:49] copies=150000 rate=139815/s BW=36.7 GB/s elapsed=1.1s
[11:53:49] copies=160000 rate=139576/s BW=36.6 GB/s elapsed=1.1s
[11:53:49] copies=170000 rate=139338/s BW=36.5 GB/s elapsed=1.2s
[11:53:49] copies=180000 rate=139186/s BW=36.5 GB/s elapsed=1.3s
[11:53:49] copies=190000 rate=139050/s BW=36.5 GB/s elapsed=1.4s
[11:53:49] copies=200000 rate=138921/s BW=36.4 GB/s elapsed=1.4s
[11:53:49] copies=210000 rate=138797/s BW=36.4 GB/s elapsed=1.5s
[11:53:49] copies=220000 rate=138668/s BW=36.4 GB/s elapsed=1.6s
[11:53:49] copies=230000 rate=138555/s BW=36.3 GB/s elapsed=1.7s
[11:53:49] copies=240000 rate=138457/s BW=36.3 GB/s elapsed=1.7s
[11:53:50] copies=250000 rate=138343/s BW=36.3 GB/s elapsed=1.8s
[11:53:50] copies=260000 rate=138273/s BW=36.2 GB/s elapsed=1.9s
[11:53:50] copies=270000 rate=138199/s BW=36.2 GB/s elapsed=2.0s
[11:53:50] copies=280000 rate=138130/s BW=36.2 GB/s elapsed=2.0s
[11:53:50] copies=290000 rate=138066/s BW=36.2 GB/s elapsed=2.1s
[11:53:50] copies=300000 rate=138008/s BW=36.2 GB/s elapsed=2.2s
[11:53:50] copies=310000 rate=137945/s BW=36.2 GB/s elapsed=2.2s
[11:53:50] copies=320000 rate=137834/s BW=36.1 GB/s elapsed=2.3s
[11:53:50] copies=330000 rate=137810/s BW=36.1 GB/s elapsed=2.4s
[11:53:50] copies=340000 rate=137730/s BW=36.1 GB/s elapsed=2.5s
[11:53:50] copies=350000 rate=137691/s BW=36.1 GB/s elapsed=2.5s
[11:53:50] copies=360000 rate=137648/s BW=36.1 GB/s elapsed=2.6s
[11:53:50] copies=370000 rate=137610/s BW=36.1 GB/s elapsed=2.7s
[11:53:50] copies=380000 rate=137563/s BW=36.1 GB/s elapsed=2.8s
[11:53:51] copies=390000 rate=137520/s BW=36.0 GB/s elapsed=2.8s
[11:53:51] copies=400000 rate=137472/s BW=36.0 GB/s elapsed=2.9s
[11:53:51] copies=410000 rate=137431/s BW=36.0 GB/s elapsed=3.0s
[11:53:51] copies=420000 rate=137386/s BW=36.0 GB/s elapsed=3.1s
[11:53:51] copies=430000 rate=137351/s BW=36.0 GB/s elapsed=3.1s
[11:53:51] copies=440000 rate=137326/s BW=36.0 GB/s elapsed=3.2s
[11:53:51] copies=450000 rate=137303/s BW=36.0 GB/s elapsed=3.3s
[11:53:51] copies=460000 rate=137276/s BW=36.0 GB/s elapsed=3.4s
[11:53:51] copies=470000 rate=137244/s BW=36.0 GB/s elapsed=3.4s
[11:53:51] copies=480000 rate=137219/s BW=36.0 GB/s elapsed=3.5s
[11:53:51] copies=490000 rate=137196/s BW=36.0 GB/s elapsed=3.6s
[11:53:51] copies=500000 rate=137172/s BW=36.0 GB/s elapsed=3.6s
[11:53:51] copies=510000 rate=137155/s BW=36.0 GB/s elapsed=3.7s
[11:53:51] copies=520000 rate=137131/s BW=35.9 GB/s elapsed=3.8s
[11:53:52] copies=530000 rate=137105/s BW=35.9 GB/s elapsed=3.9s
[11:53:52] copies=540000 rate=137084/s BW=35.9 GB/s elapsed=3.9s
[11:53:52] copies=550000 rate=137050/s BW=35.9 GB/s elapsed=4.0s
[11:53:52] copies=560000 rate=137033/s BW=35.9 GB/s elapsed=4.1s
[11:53:52] copies=570000 rate=137018/s BW=35.9 GB/s elapsed=4.2s
[11:53:52] copies=580000 rate=136995/s BW=35.9 GB/s elapsed=4.2s
[11:53:52] copies=590000 rate=136982/s BW=35.9 GB/s elapsed=4.3s
[11:53:52] copies=600000 rate=136966/s BW=35.9 GB/s elapsed=4.4s
[11:53:52] copies=610000 rate=136944/s BW=35.9 GB/s elapsed=4.5s
[11:53:52] copies=620000 rate=136924/s BW=35.9 GB/s elapsed=4.5s
[11:53:52] copies=630000 rate=136903/s BW=35.9 GB/s elapsed=4.6s
[11:53:52] copies=640000 rate=136888/s BW=35.9 GB/s elapsed=4.7s
[11:53:52] copies=650000 rate=136873/s BW=35.9 GB/s elapsed=4.7s
[11:53:53] copies=660000 rate=136852/s BW=35.9 GB/s elapsed=4.8s
[11:53:53] copies=670000 rate=136840/s BW=35.9 GB/s elapsed=4.9s
[11:53:53] copies=680000 rate=136826/s BW=35.9 GB/s elapsed=5.0s
[11:53:53] copies=690000 rate=136813/s BW=35.9 GB/s elapsed=5.0s
[11:53:53] copies=700000 rate=136796/s BW=35.9 GB/s elapsed=5.1s
[11:53:53] copies=710000 rate=136780/s BW=35.9 GB/s elapsed=5.2s
[11:53:53] copies=720000 rate=136765/s BW=35.9 GB/s elapsed=5.3s
[11:53:53] copies=730000 rate=136748/s BW=35.8 GB/s elapsed=5.3s
[11:53:53] copies=740000 rate=136732/s BW=35.8 GB/s elapsed=5.4s
[11:53:53] copies=750000 rate=136715/s BW=35.8 GB/s elapsed=5.5s
[11:53:53] copies=760000 rate=136700/s BW=35.8 GB/s elapsed=5.6s
[11:53:53] copies=770000 rate=136687/s BW=35.8 GB/s elapsed=5.6s
[11:53:53] copies=780000 rate=136673/s BW=35.8 GB/s elapsed=5.7s
[11:53:53] copies=790000 rate=136664/s BW=35.8 GB/s elapsed=5.8s
[11:53:54] copies=800000 rate=136652/s BW=35.8 GB/s elapsed=5.9s
[11:53:54] copies=810000 rate=136629/s BW=35.8 GB/s elapsed=5.9s
[11:53:54] copies=820000 rate=136617/s BW=35.8 GB/s elapsed=6.0s
[11:53:54] copies=830000 rate=136610/s BW=35.8 GB/s elapsed=6.1s
[11:53:54] copies=840000 rate=136601/s BW=35.8 GB/s elapsed=6.1s
[11:53:54] copies=850000 rate=136593/s BW=35.8 GB/s elapsed=6.2s
[11:53:54] copies=860000 rate=136585/s BW=35.8 GB/s elapsed=6.3s
[11:53:54] copies=870000 rate=136577/s BW=35.8 GB/s elapsed=6.4s
[11:53:54] copies=880000 rate=136564/s BW=35.8 GB/s elapsed=6.4s
[11:53:54] copies=890000 rate=136556/s BW=35.8 GB/s elapsed=6.5s
[11:53:54] copies=900000 rate=136543/s BW=35.8 GB/s elapsed=6.6s
[11:53:54] copies=910000 rate=136533/s BW=35.8 GB/s elapsed=6.7s
[11:53:54] copies=920000 rate=136524/s BW=35.8 GB/s elapsed=6.7s
[11:53:55] copies=930000 rate=136515/s BW=35.8 GB/s elapsed=6.8s
[11:53:55] copies=940000 rate=136505/s BW=35.8 GB/s elapsed=6.9s
[11:53:55] copies=950000 rate=136493/s BW=35.8 GB/s elapsed=7.0s
[11:53:55] copies=960000 rate=136482/s BW=35.8 GB/s elapsed=7.0s
[11:53:55] copies=970000 rate=136469/s BW=35.8 GB/s elapsed=7.1s
[11:53:55] copies=980000 rate=136464/s BW=35.8 GB/s elapsed=7.2s
[11:53:55] copies=990000 rate=136459/s BW=35.8 GB/s elapsed=7.3s
[11:53:55] copies=1000000 rate=136455/s BW=35.8 GB/s elapsed=7.3s
[11:53:55] copies=1010000 rate=136450/s BW=35.8 GB/s elapsed=7.4s
[11:53:55] copies=1020000 rate=136444/s BW=35.8 GB/s elapsed=7.5s
[11:53:55] copies=1030000 rate=136441/s BW=35.8 GB/s elapsed=7.5s
[11:53:55] copies=1040000 rate=136438/s BW=35.8 GB/s elapsed=7.6s
[11:53:55] copies=1050000 rate=136435/s BW=35.8 GB/s elapsed=7.7s
[11:53:55] copies=1060000 rate=136431/s BW=35.8 GB/s elapsed=7.8s
[11:53:56] copies=1070000 rate=136427/s BW=35.8 GB/s elapsed=7.8s
[11:53:56] copies=1080000 rate=136418/s BW=35.8 GB/s elapsed=7.9s
[11:53:56] copies=1090000 rate=136410/s BW=35.8 GB/s elapsed=8.0s
[11:53:56] copies=1100000 rate=136403/s BW=35.8 GB/s elapsed=8.1s
[11:53:56] copies=1110000 rate=136397/s BW=35.8 GB/s elapsed=8.1s
[11:53:56] copies=1120000 rate=136386/s BW=35.8 GB/s elapsed=8.2s
[11:53:56] copies=1130000 rate=136381/s BW=35.8 GB/s elapsed=8.3s
[11:53:56] copies=1140000 rate=136379/s BW=35.8 GB/s elapsed=8.4s
[11:53:56] copies=1150000 rate=136378/s BW=35.8 GB/s elapsed=8.4s
[11:53:56] copies=1160000 rate=136368/s BW=35.7 GB/s elapsed=8.5s
[11:53:56] copies=1170000 rate=136365/s BW=35.7 GB/s elapsed=8.6s
[11:53:56] copies=1180000 rate=136359/s BW=35.7 GB/s elapsed=8.7s
[11:53:56] copies=1190000 rate=136352/s BW=35.7 GB/s elapsed=8.7s
[11:53:57] copies=1200000 rate=136349/s BW=35.7 GB/s elapsed=8.8s
[11:53:57] copies=1210000 rate=136347/s BW=35.7 GB/s elapsed=8.9s
[11:53:57] copies=1220000 rate=136345/s BW=35.7 GB/s elapsed=8.9s
[11:53:57] copies=1230000 rate=136345/s BW=35.7 GB/s elapsed=9.0s
[11:53:57] copies=1240000 rate=136346/s BW=35.7 GB/s elapsed=9.1s
[11:53:57] copies=1250000 rate=136344/s BW=35.7 GB/s elapsed=9.2s
[11:53:57] copies=1260000 rate=136340/s BW=35.7 GB/s elapsed=9.2s
[11:53:57] copies=1270000 rate=136334/s BW=35.7 GB/s elapsed=9.3s
[11:53:57] copies=1280000 rate=136330/s BW=35.7 GB/s elapsed=9.4s
[11:53:57] copies=1290000 rate=136326/s BW=35.7 GB/s elapsed=9.5s
[11:53:57] copies=1300000 rate=136321/s BW=35.7 GB/s elapsed=9.5s
[11:53:57] copies=1310000 rate=136316/s BW=35.7 GB/s elapsed=9.6s
[11:53:57] copies=1320000 rate=136310/s BW=35.7 GB/s elapsed=9.7s
[11:53:57] copies=1330000 rate=136306/s BW=35.7 GB/s elapsed=9.8s
[11:53:58] copies=1340000 rate=136304/s BW=35.7 GB/s elapsed=9.8s
[11:53:58] copies=1350000 rate=136301/s BW=35.7 GB/s elapsed=9.9s
[11:53:58] copies=1360000 rate=136295/s BW=35.7 GB/s elapsed=10.0s
[11:53:58] copies=1370000 rate=136287/s BW=35.7 GB/s elapsed=10.1s
[11:53:58] copies=1380000 rate=136285/s BW=35.7 GB/s elapsed=10.1s
[11:53:58] copies=1390000 rate=136283/s BW=35.7 GB/s elapsed=10.2s
[11:53:58] copies=1400000 rate=136281/s BW=35.7 GB/s elapsed=10.3s
[11:53:58] copies=1410000 rate=136278/s BW=35.7 GB/s elapsed=10.3s
[11:53:58] copies=1420000 rate=136277/s BW=35.7 GB/s elapsed=10.4s
