[15:23:50] allocating 2× 128 KB buffers
[15:23:51] entering high-launch-rate memcpy loop
[15:23:51] copies=10000 rate=128722/s BW=33.7 GB/s elapsed=0.1s
[15:23:52] copies=20000 rate=127800/s BW=33.5 GB/s elapsed=0.2s
[15:23:52] copies=30000 rate=127415/s BW=33.4 GB/s elapsed=0.2s
[15:23:52] copies=40000 rate=126526/s BW=33.2 GB/s elapsed=0.3s
[15:23:52] copies=50000 rate=126580/s BW=33.2 GB/s elapsed=0.4s
[15:23:52] copies=60000 rate=126750/s BW=33.2 GB/s elapsed=0.5s
[15:23:52] copies=70000 rate=126862/s BW=33.3 GB/s elapsed=0.6s
[15:23:52] copies=80000 rate=126953/s BW=33.3 GB/s elapsed=0.6s
[15:23:52] copies=90000 rate=127019/s BW=33.3 GB/s elapsed=0.7s
[15:23:52] copies=100000 rate=127052/s BW=33.3 GB/s elapsed=0.8s
[15:23:52] copies=110000 rate=127117/s BW=33.3 GB/s elapsed=0.9s
[15:23:52] copies=120000 rate=127159/s BW=33.3 GB/s elapsed=0.9s
[15:23:52] copies=130000 rate=126956/s BW=33.3 GB/s elapsed=1.0s
[15:23:52] copies=140000 rate=126664/s BW=33.2 GB/s elapsed=1.1s
[15:23:53] copies=150000 rate=126414/s BW=33.1 GB/s elapsed=1.2s
[15:23:53] copies=160000 rate=126181/s BW=33.1 GB/s elapsed=1.3s
[15:23:53] copies=170000 rate=125965/s BW=33.0 GB/s elapsed=1.3s
[15:23:53] copies=180000 rate=125789/s BW=33.0 GB/s elapsed=1.4s
[15:23:53] copies=190000 rate=125633/s BW=32.9 GB/s elapsed=1.5s
[15:23:53] copies=200000 rate=125502/s BW=32.9 GB/s elapsed=1.6s
[15:23:53] copies=210000 rate=125374/s BW=32.9 GB/s elapsed=1.7s
[15:23:53] copies=220000 rate=125265/s BW=32.8 GB/s elapsed=1.8s
[15:23:53] copies=230000 rate=125135/s BW=32.8 GB/s elapsed=1.8s
[15:23:53] copies=240000 rate=125043/s BW=32.8 GB/s elapsed=1.9s
[15:23:53] copies=250000 rate=124949/s BW=32.8 GB/s elapsed=2.0s
[15:23:53] copies=260000 rate=124883/s BW=32.7 GB/s elapsed=2.1s
[15:23:54] copies=270000 rate=124814/s BW=32.7 GB/s elapsed=2.2s
[15:23:54] copies=280000 rate=124750/s BW=32.7 GB/s elapsed=2.2s
[15:23:54] copies=290000 rate=124685/s BW=32.7 GB/s elapsed=2.3s
[15:23:54] copies=300000 rate=124639/s BW=32.7 GB/s elapsed=2.4s
[15:23:54] copies=310000 rate=124567/s BW=32.7 GB/s elapsed=2.5s
[15:23:54] copies=320000 rate=124542/s BW=32.6 GB/s elapsed=2.6s
[15:23:54] copies=330000 rate=124509/s BW=32.6 GB/s elapsed=2.7s
[15:23:54] copies=340000 rate=124478/s BW=32.6 GB/s elapsed=2.7s
[15:23:54] copies=350000 rate=124503/s BW=32.6 GB/s elapsed=2.8s
[15:23:54] copies=360000 rate=124518/s BW=32.6 GB/s elapsed=2.9s
[15:23:54] copies=370000 rate=124526/s BW=32.6 GB/s elapsed=3.0s
[15:23:54] copies=380000 rate=124537/s BW=32.6 GB/s elapsed=3.1s
[15:23:54] copies=390000 rate=124534/s BW=32.6 GB/s elapsed=3.1s
[15:23:55] copies=400000 rate=124547/s BW=32.6 GB/s elapsed=3.2s
[15:23:55] copies=410000 rate=124546/s BW=32.6 GB/s elapsed=3.3s
[15:23:55] copies=420000 rate=124556/s BW=32.7 GB/s elapsed=3.4s
[15:23:55] copies=430000 rate=124552/s BW=32.7 GB/s elapsed=3.5s
[15:23:55] copies=440000 rate=124539/s BW=32.6 GB/s elapsed=3.5s
[15:23:55] copies=450000 rate=124542/s BW=32.6 GB/s elapsed=3.6s
[15:23:55] copies=460000 rate=124549/s BW=32.6 GB/s elapsed=3.7s
[15:23:55] copies=470000 rate=124553/s BW=32.7 GB/s elapsed=3.8s
[15:23:55] copies=480000 rate=124559/s BW=32.7 GB/s elapsed=3.9s
[15:23:55] copies=490000 rate=124544/s BW=32.6 GB/s elapsed=3.9s
[15:23:55] copies=500000 rate=124549/s BW=32.6 GB/s elapsed=4.0s
[15:23:55] copies=510000 rate=124552/s BW=32.7 GB/s elapsed=4.1s
[15:23:56] copies=520000 rate=124560/s BW=32.7 GB/s elapsed=4.2s
[15:23:56] copies=530000 rate=124558/s BW=32.7 GB/s elapsed=4.3s
[15:23:56] copies=540000 rate=124561/s BW=32.7 GB/s elapsed=4.3s
[15:23:56] copies=550000 rate=124563/s BW=32.7 GB/s elapsed=4.4s
[15:23:56] copies=560000 rate=124567/s BW=32.7 GB/s elapsed=4.5s
[15:23:56] copies=570000 rate=124568/s BW=32.7 GB/s elapsed=4.6s
[15:23:56] copies=580000 rate=124573/s BW=32.7 GB/s elapsed=4.7s
[15:23:56] copies=590000 rate=124571/s BW=32.7 GB/s elapsed=4.7s
[15:23:56] copies=600000 rate=124567/s BW=32.7 GB/s elapsed=4.8s
[15:23:56] copies=610000 rate=124566/s BW=32.7 GB/s elapsed=4.9s
[15:23:56] copies=620000 rate=124573/s BW=32.7 GB/s elapsed=5.0s
[15:23:56] copies=630000 rate=124579/s BW=32.7 GB/s elapsed=5.1s
[15:23:56] copies=640000 rate=124589/s BW=32.7 GB/s elapsed=5.1s
[15:23:57] copies=650000 rate=124597/s BW=32.7 GB/s elapsed=5.2s
[15:23:57] copies=660000 rate=124605/s BW=32.7 GB/s elapsed=5.3s
[15:23:57] copies=670000 rate=124613/s BW=32.7 GB/s elapsed=5.4s
[15:23:57] copies=680000 rate=124624/s BW=32.7 GB/s elapsed=5.5s
[15:23:57] copies=690000 rate=124631/s BW=32.7 GB/s elapsed=5.5s
[15:23:57] copies=700000 rate=124641/s BW=32.7 GB/s elapsed=5.6s
[15:23:57] copies=710000 rate=124647/s BW=32.7 GB/s elapsed=5.7s
[15:23:57] copies=720000 rate=124654/s BW=32.7 GB/s elapsed=5.8s
[15:23:57] copies=730000 rate=124659/s BW=32.7 GB/s elapsed=5.9s
[15:23:57] copies=740000 rate=124657/s BW=32.7 GB/s elapsed=5.9s
[15:23:57] copies=750000 rate=124664/s BW=32.7 GB/s elapsed=6.0s
[15:23:57] copies=760000 rate=124673/s BW=32.7 GB/s elapsed=6.1s
[15:23:58] copies=770000 rate=124679/s BW=32.7 GB/s elapsed=6.2s
[15:23:58] copies=780000 rate=124684/s BW=32.7 GB/s elapsed=6.3s
[15:23:58] copies=790000 rate=124689/s BW=32.7 GB/s elapsed=6.3s
[15:23:58] copies=800000 rate=124697/s BW=32.7 GB/s elapsed=6.4s
[15:23:58] copies=810000 rate=124702/s BW=32.7 GB/s elapsed=6.5s
[15:23:58] copies=820000 rate=124711/s BW=32.7 GB/s elapsed=6.6s
[15:23:58] copies=830000 rate=124715/s BW=32.7 GB/s elapsed=6.7s
[15:23:58] copies=840000 rate=124722/s BW=32.7 GB/s elapsed=6.7s
[15:23:58] copies=850000 rate=124728/s BW=32.7 GB/s elapsed=6.8s
[15:23:58] copies=860000 rate=124736/s BW=32.7 GB/s elapsed=6.9s
[15:23:58] copies=870000 rate=124741/s BW=32.7 GB/s elapsed=7.0s
[15:23:58] copies=880000 rate=124744/s BW=32.7 GB/s elapsed=7.1s
[15:23:58] copies=890000 rate=124747/s BW=32.7 GB/s elapsed=7.1s
