[03:35:27] === Exp 12: Multi-GPU baseline ===
[03:36:02]   G0=GPU-b90e7b7d-98a6-26b1-43de-c1c5b3fd4d5a G1=GPU-7581a201-76ad-e213-b9f1-5fc824c1ff8a
[03:36:02] --- e12_multiGPU_N1_t1 ---
[03:36:26] --- e12_multiGPU_N1_t2 ---
[03:36:48] --- e12_multiGPU_N1_t3 ---
[03:37:10] --- e12_multiGPU_N4_t1 ---
[03:37:35] --- e12_multiGPU_N4_t2 ---
[03:37:59] --- e12_multiGPU_N4_t3 ---
[03:38:24] --- e12_multiGPU_N6_t1 ---
[03:38:50] --- e12_multiGPU_N6_t2 ---
[03:39:16] --- e12_multiGPU_N6_t3 ---
[03:39:42] --- e12_multiGPU_N8_t1 ---
[03:40:10] --- e12_multiGPU_N8_t2 ---
[03:40:37] --- e12_multiGPU_N8_t3 ---
