[bursty] e4_steady_N4_t1_c4 duration=90s kernels/burst=100 burst_int=100ms idle=0ms
[bursty] burst 10: 3.37ms, total_kernels=2000
[bursty] burst 20: 3.36ms, total_kernels=4000
[bursty] burst 30: 3.37ms, total_kernels=6000
[bursty] burst 40: 3.34ms, total_kernels=8000
[bursty] burst 50: 3.36ms, total_kernels=10000
[bursty] burst 60: 3.37ms, total_kernels=12000
[bursty] burst 70: 3.36ms, total_kernels=14000
[bursty] burst 80: 3.35ms, total_kernels=16000
[bursty] burst 90: 3.36ms, total_kernels=18000
[bursty] burst 100: 3.39ms, total_kernels=20000
[bursty] burst 110: 3.37ms, total_kernels=22000
[bursty] burst 120: 3.35ms, total_kernels=24000
[bursty] burst 130: 3.36ms, total_kernels=26000
[bursty] burst 140: 3.35ms, total_kernels=28000
[bursty] burst 150: 3.35ms, total_kernels=30000
[bursty] burst 160: 3.37ms, total_kernels=32000
[bursty] burst 170: 3.36ms, total_kernels=34000
[bursty] burst 180: 3.36ms, total_kernels=36000
[bursty] burst 190: 6.26ms, total_kernels=38000
[bursty] burst 200: 3.37ms, total_kernels=40000
[bursty] burst 210: 3.35ms, total_kernels=42000
[bursty] burst 220: 3.57ms, total_kernels=44000
[bursty] burst 230: 3.38ms, total_kernels=46000
[bursty] burst 240: 3.38ms, total_kernels=48000
[bursty] burst 250: 3.37ms, total_kernels=50000
[bursty] burst 260: 3.39ms, total_kernels=52000
[bursty] burst 270: 3.37ms, total_kernels=54000
[bursty] burst 280: 3.37ms, total_kernels=56000
[bursty] burst 290: 3.36ms, total_kernels=58000
[bursty] burst 300: 3.38ms, total_kernels=60000
[bursty] burst 310: 3.37ms, total_kernels=62000
[bursty] burst 320: 3.36ms, total_kernels=64000
[bursty] burst 330: 3.36ms, total_kernels=66000
[bursty] burst 340: 3.36ms, total_kernels=68000
[bursty] burst 350: 3.40ms, total_kernels=70000
[bursty] burst 360: 3.36ms, total_kernels=72000
[bursty] burst 370: 3.34ms, total_kernels=74000
[bursty] burst 380: 3.35ms, total_kernels=76000
[bursty] burst 390: 3.35ms, total_kernels=78000
[bursty] burst 400: 3.38ms, total_kernels=80000
[bursty] burst 410: 3.38ms, total_kernels=82000
[bursty] burst 420: 3.38ms, total_kernels=84000
[bursty] burst 430: 3.39ms, total_kernels=86000
[bursty] burst 440: 3.38ms, total_kernels=88000
[bursty] burst 450: 3.37ms, total_kernels=90000
[bursty] burst 460: 3.38ms, total_kernels=92000
[bursty] burst 470: 3.39ms, total_kernels=94000
[bursty] burst 480: 3.37ms, total_kernels=96000
[bursty] burst 490: 3.38ms, total_kernels=98000
[bursty] burst 500: 3.37ms, total_kernels=100000
[bursty] burst 510: 3.38ms, total_kernels=102000
[bursty] burst 520: 3.37ms, total_kernels=104000
[bursty] burst 530: 3.38ms, total_kernels=106000
[bursty] burst 540: 3.60ms, total_kernels=108000
[bursty] burst 550: 3.31ms, total_kernels=110000
[bursty] burst 560: 3.31ms, total_kernels=112000
[bursty] burst 570: 3.32ms, total_kernels=114000
[bursty] burst 580: 3.36ms, total_kernels=116000
[bursty] burst 590: 3.38ms, total_kernels=118000
[bursty] burst 600: 3.37ms, total_kernels=120000
[bursty] burst 610: 3.37ms, total_kernels=122000
[bursty] burst 620: 3.38ms, total_kernels=124000
[bursty] burst 630: 3.38ms, total_kernels=126000
[bursty] burst 640: 3.37ms, total_kernels=128000
[bursty] burst 650: 3.38ms, total_kernels=130000
[bursty] burst 660: 3.38ms, total_kernels=132000
[bursty] burst 670: 3.38ms, total_kernels=134000
[bursty] burst 680: 3.38ms, total_kernels=136000
[bursty] burst 690: 3.36ms, total_kernels=138000
[bursty] burst 700: 3.37ms, total_kernels=140000
[bursty] burst 710: 3.38ms, total_kernels=142000
[bursty] burst 720: 3.35ms, total_kernels=144000
[bursty] burst 730: 3.38ms, total_kernels=146000
[bursty] burst 740: 3.37ms, total_kernels=148000
[bursty] burst 750: 3.38ms, total_kernels=150000
[bursty] burst 760: 3.37ms, total_kernels=152000
[bursty] burst 770: 3.37ms, total_kernels=154000
[bursty] burst 780: 3.38ms, total_kernels=156000
[bursty] burst 790: 3.37ms, total_kernels=158000
[bursty] burst 800: 3.35ms, total_kernels=160000
[bursty] burst 810: 3.35ms, total_kernels=162000
[bursty] burst 820: 3.36ms, total_kernels=164000
[bursty] burst 830: 3.36ms, total_kernels=166000
[bursty] burst 840: 3.36ms, total_kernels=168000
[bursty] burst 850: 3.36ms, total_kernels=170000
[bursty] burst 860: 3.35ms, total_kernels=172000
[bursty] burst 870: 3.36ms, total_kernels=174000
[bursty] burst 880: 3.35ms, total_kernels=176000
[bursty] burst 890: 3.38ms, total_kernels=178000
[bursty] burst 900: 3.38ms, total_kernels=180000
[bursty] burst 910: 3.36ms, total_kernels=182000
[bursty] burst 920: 3.38ms, total_kernels=184000
[bursty] burst 930: 3.38ms, total_kernels=186000
[bursty] burst 940: 3.39ms, total_kernels=188000
[bursty] burst 950: 3.38ms, total_kernels=190000
[bursty] burst 960: 3.37ms, total_kernels=192000
[bursty] burst 970: 3.38ms, total_kernels=194000
[bursty] burst 980: 3.39ms, total_kernels=196000
[bursty] burst 990: 3.38ms, total_kernels=198000
[bursty] burst 1000: 3.36ms, total_kernels=200000
[bursty] burst 1010: 3.38ms, total_kernels=202000
[bursty] burst 1020: 3.37ms, total_kernels=204000
[bursty] burst 1030: 3.38ms, total_kernels=206000
[bursty] burst 1040: 3.37ms, total_kernels=208000
[bursty] burst 1050: 3.37ms, total_kernels=210000
[bursty] burst 1060: 3.38ms, total_kernels=212000
[bursty] burst 1070: 3.37ms, total_kernels=214000
[bursty] burst 1080: 3.38ms, total_kernels=216000
[bursty] burst 1090: 3.37ms, total_kernels=218000
[bursty] burst 1100: 3.35ms, total_kernels=220000
[bursty] burst 1110: 3.38ms, total_kernels=222000
[bursty] burst 1120: 3.37ms, total_kernels=224000
[bursty] burst 1130: 3.38ms, total_kernels=226000
[bursty] burst 1140: 3.35ms, total_kernels=228000
[bursty] burst 1150: 3.38ms, total_kernels=230000
[bursty] burst 1160: 3.38ms, total_kernels=232000
[bursty] burst 1170: 3.36ms, total_kernels=234000
[bursty] burst 1180: 3.39ms, total_kernels=236000
[bursty] burst 1190: 3.37ms, total_kernels=238000
[bursty] burst 1200: 3.38ms, total_kernels=240000
[bursty] burst 1210: 3.38ms, total_kernels=242000
[bursty] burst 1220: 3.38ms, total_kernels=244000
[bursty] burst 1230: 3.38ms, total_kernels=246000
[bursty] burst 1240: 3.39ms, total_kernels=248000
[bursty] burst 1250: 3.38ms, total_kernels=250000
[bursty] burst 1260: 3.38ms, total_kernels=252000
[bursty] burst 1270: 3.37ms, total_kernels=254000
[bursty] burst 1280: 3.38ms, total_kernels=256000
[bursty] burst 1290: 3.38ms, total_kernels=258000
[bursty] burst 1300: 3.38ms, total_kernels=260000
[bursty] burst 1310: 3.38ms, total_kernels=262000
[bursty] burst 1320: 3.39ms, total_kernels=264000
[bursty] burst 1330: 3.37ms, total_kernels=266000
[bursty] burst 1340: 3.36ms, total_kernels=268000
