device,replicas,closed_loop_slots_s,service_mean_ms,service_p99_ms
2g,1,334.8870376140703,2.9835295258164405,2.9921278953552246
2g,2,309.7736879916602,6.453531908035278,6.478858222961425
2g,4,312.1501318653923,12.808162548303605,13.742130937576293
2g,8,311.4446628255057,25.67358437824249,26.5196955871582
2g,16,311.3883413831584,25.6763565967083,26.539068641662595
4g,1,745.1031249828102,1.33957937631011,1.3424639701843262
4g,2,655.5693859735986,3.047950082421303,3.4652261614799498
4g,4,611.4585088765426,6.536555265188217,7.021578063964843
4g,8,604.2325112177608,13.232659709215165,13.672499361038208
4g,16,604.2698958963506,13.23094297683239,13.653012723922728
full,1,1130.515925831648,0.8820116468518973,1.106943964958191
full,2,1126.0053680735145,1.7732280297279357,2.1862399578094482
full,4,1093.5991864352577,3.65253247949481,3.9331839084625244
full,8,1067.8695681993822,7.484928256273269,7.796735763549805
full,16,1068.480774925854,7.480859132528305,7.800842037200927
