device,replicas,arrival_rate_slots_s,latency_mean_ms,latency_p99_ms,backlog_at_window_end,max_outstanding,deadline_miss_ratio_1ms,drain_after_last_arrival_ms
2g,1,250.0,3.015324447949727,3.036865234375,0,1,1.0,3.033935546875
2g,1,400.0,291.85741912066936,574.9948217773438,194,195,1.0,580.77685546875
2g,1,500.0,738.9935979890823,1460.2486083984375,494,495,1.0,1474.9638671875
2g,1,750.0,1856.6979259652032,3673.3546583731245,1244,1245,1.0,3710.42268846875
2g,1,1000.0,2974.954549062729,5887.325458984375,1995,1995,1.0,5946.7822265625
2g,2,250.0,3.0141719506581626,3.03443359375,0,1,1.0,3.03173828125
2g,2,400.0,401.056121737957,789.9923388671875,252,253,1.0,796.1005859375
2g,2,500.0,876.8823228089014,1731.237138671875,553,553,1.0,1747.07275390625
2g,2,750.0,2057.7493766155244,4072.461298998124,1301,1301,1.0,4111.8826494062505
2g,2,1000.0,3242.342392065207,6414.450205078124,2052,2052,1.0,6478.56640625
2g,4,250.0,3.013684373219808,3.03454833984375,0,1,1.0,3.0205078125
2g,4,400.0,422.5437144116561,829.9653173828125,262,263,1.0,834.0458984375
2g,4,500.0,903.679172706604,1780.8035205078124,564,564,1.0,1795.0419921875
2g,4,750.0,2107.736053305308,4163.943462084062,1315,1315,1.0,4201.5135087812505
2g,4,1000.0,3309.6469955240887,6545.358505859374,2064,2064,1.0,6606.1162109375
2g,8,250.0,3.01413245900472,3.03479248046875,0,1,1.0,3.026611328125
2g,8,400.0,432.4999258639415,845.1379345703125,267,267,1.0,843.47900390625
2g,8,500.0,913.8572312749227,1797.5204833984376,567,567,1.0,1805.2421875
2g,8,750.0,2119.8546377156576,4183.129008789062,1317,1318,1.0,4217.3548173750005
2g,8,1000.0,3327.3629703768092,6573.754765625,2069,2069,1.0,6629.12109375
2g,16,250.0,3.0136479008992514,3.03381591796875,0,1,1.0,3.034912109375
2g,16,400.0,432.1299130103985,845.2919482421875,267,267,1.0,844.44970703125
2g,16,500.0,914.3779727401734,1801.3785498046875,567,568,1.0,1808.7451171875
2g,16,750.0,2120.2513613497417,4184.774990234375,1318,1319,1.0,4216.8255205000005
2g,16,1000.0,3327.234029894352,6571.2995019531245,2070,2070,1.0,6629.2431640625
4g,1,500.0,1.3735970205465953,1.39258056640625,0,1,1.0,1.39013671875
4g,1,700.0,1.3758146907034374,1.394775390625,0,1,1.0,1.3931706093749199
4g,1,750.0,8.33901911078559,15.19009294343748,11,12,1.0,15.325764640625039
4g,1,1000.0,510.5615344092846,1009.5434326171874,761,762,1.0,1019.72998046875
4g,2,500.0,1.3702682393391927,1.38794189453125,0,1,1.0,1.38623046875
4g,2,700.0,1.3769667864981152,1.3979839531248217,0,1,1.0,1.3941471718749199
4g,2,750.0,1.3781672008302477,1.3974609375,1,2,1.0,1.3921708906250387
4g,2,1000.0,796.1725792402029,1574.0698876953124,1039,1040,1.0,1588.978515625
4g,4,500.0,1.3683496597607931,1.38574462890625,0,1,1.0,1.384033203125
4g,4,700.0,1.3750673297473361,1.3919499062499199,0,1,1.0,1.3912174843749199
4g,4,750.0,1.3766871927579245,1.3964033281249613,1,2,1.0,1.3931474531250387
4g,4,1000.0,955.1917709308068,1887.27359375,1167,1168,1.0,1903.7490234375
4g,8,500.0,1.3680875301361084,1.38476806640625,0,1,1.0,1.382080078125
4g,8,700.0,1.3741971446218946,1.3905558785936545,0,1,1.0,1.3902409218749199
4g,8,750.0,1.3770082297325135,1.3955888593750387,1,2,1.0,1.3892412031250387
4g,8,1000.0,985.5447749131521,1946.45353515625,1188,1189,1.0,1961.58251953125
4g,16,500.0,1.3672264629999797,1.3837890625,0,1,1.0,1.3798828125
4g,16,700.0,1.3726412144161406,1.3887080087498225,0,1,1.0,1.3860905312499199
4g,16,750.0,1.3777055789629618,1.395751953125,1,2,1.0,1.3880205000000387
4g,16,1000.0,986.2288042846918,1947.40544921875,1189,1190,1.0,1961.7607421875
full,1,750.0,0.9058040181265937,0.9266767656249613,0,1,0.0,0.9231767500000387
full,1,1000.0,0.901268457531929,0.92236328125,0,1,0.0,0.922607421875
full,1,1100.0,0.9036904513474666,0.9242498598437714,1,2,0.0,0.9239835781249894
full,1,1250.0,130.60627836027146,257.6985209960937,299,300,0.9994666666666666,260.2943847656252
full,1,1500.0,456.55454502114986,903.0629715214062,1049,1050,0.9997777777777778,912.166422859375
full,2,750.0,0.9013423656887478,0.9217537501562492,0,1,0.0,0.9202470625000387
full,2,1000.0,0.900098734041055,0.919189453125,0,2,0.0003333333333333333,0.918701171875
full,2,1100.0,0.8991598572153033,0.9181911879687186,1,2,0.0,0.9188566249999894
full,2,1250.0,150.5098790066719,296.41876904296873,340,341,0.9997333333333334,298.9821289062502
full,2,1500.0,479.9006286400954,948.8941739942188,1090,1090,1.0,958.17985059375
full,4,750.0,0.8997027590009902,0.9173994218749613,0,1,0.0,0.9180497968750387
full,4,1000.0,0.9070885674556096,0.924560546875,0,1,0.0,0.922607421875
full,4,1100.0,0.9065167694742029,0.9240955228125313,1,2,0.0012121212121212121,0.9230070156249894
full,4,1250.0,215.53286255965233,423.35978027343765,469,470,0.9997333333333334,426.3073242187502
full,4,1500.0,557.5659434795645,1100.8851551095313,1218,1219,1.0,1110.82535840625
full,8,750.0,0.8996167905330658,0.9160966718750387,0,1,0.0,0.9180497968750387
full,8,1000.0,0.9042124280532201,0.92041015625,0,1,0.0,0.919677734375
full,8,1100.0,0.905318873759472,0.9213647968749683,1,2,0.0,0.9198331874999894
full,8,1250.0,256.2400589606126,505.076615234375,546,547,0.9997333333333334,507.2331054687502
full,8,1500.0,609.2521556767888,1202.61755892375,1298,1299,1.0,1212.04508496875
full,16,750.0,0.8977207432323032,0.9130048906249613,0,1,0.0,0.9119462812500387
full,16,1000.0,0.9044859831730525,0.91943359375,0,1,0.0,0.919677734375
full,16,1100.0,0.90473385478511,0.9197447192187291,1,2,0.0012121212121212121,0.9178800624999894
full,16,1250.0,255.60910106196403,503.9780473632812,544,544,0.9997333333333334,506.0944335937502
full,16,1500.0,609.6129564153089,1203.754713875,1299,1299,1.0,1212.55875684375
