Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.9,395073255,12,32922771.3,7875.0,160,393217926,113464224.5,cudaFree
38.1,289714257,2740,105735.1,51407.0,13035,39183683,919263.1,cuLibraryLoadData
4.3,32871838,20,1643591.9,1533973.0,1319729,4005834,558151.8,cudaEventSynchronize
1.5,11029730,27,408508.5,72737.0,48081,2578913,797494.1,cuModuleLoadData
0.9,6912827,35,197509.3,43162.0,22683,1410039,399497.8,cuModuleUnload
0.9,6587884,1,6587884.0,6587884.0,6587884,6587884,0.0,cudaMallocAsync_v11020
0.8,6108490,10,610849.0,683444.0,5781,1408806,504322.5,cuLibraryUnload
0.2,1887129,10,188712.9,4273.5,1333,1850420,583865.9,cudaStreamSynchronize
0.2,1722529,475,3626.4,2945.0,2514,30628,2869.7,cuLaunchKernel
0.2,1653529,550,3006.4,2896.0,2415,7845,551.2,cuLaunchKernelEx
0.2,1559781,1,1559781.0,1559781.0,1559781,1559781,0.0,cudaGetDeviceProperties_v2_v12000
0.2,1370755,1,1370755.0,1370755.0,1370755,1370755,0.0,cudaHostAlloc
0.1,1077022,292,3688.4,3301.0,2705,22102,1557.4,cudaLaunchKernel
0.1,877305,9,97478.3,91884.0,69321,145705,21192.5,cuModuleLoadFatBinary
0.1,663274,17,39016.1,9668.0,4258,223171,68872.5,cudaMalloc
0.0,270020,1,270020.0,270020.0,270020,270020,0.0,cudaDeviceSynchronize
0.0,250320,24,10430.0,100.0,69,88477,20746.3,cudaMemcpyAsync
0.0,158313,838,188.9,130.0,70,5481,318.1,cuGetProcAddress_v2
0.0,95014,42,2262.2,2334.5,1512,4629,668.2,cudaEventRecord
0.0,84462,131,644.7,140.0,80,34476,3496.9,cudaMemsetAsync
0.0,68470,1,68470.0,68470.0,68470,68470,0.0,cudaMemGetInfo
0.0,67418,4,16854.5,7694.5,3567,48462,21255.2,cudaStreamCreate
0.0,66795,102,654.9,370.0,290,3507,639.1,cudaEventCreateWithFlags
0.0,65062,2,32531.0,32531.0,23424,41638,12879.2,cuMemcpyAsync
0.0,61927,5,12385.4,9317.0,6082,25518,7615.7,cudaStreamDestroy
0.0,56342,99,569.1,431.0,351,2665,456.7,cudaStreamIsCapturing_v10000
0.0,52479,101,519.6,310.0,210,3286,488.1,cudaEventDestroy
0.0,36126,44,821.0,757.0,411,2485,415.1,cuStreamWaitEvent
0.0,30092,44,683.9,711.5,391,1482,296.5,cuEventRecord
0.0,21220,1,21220.0,21220.0,21220,21220,0.0,cudaStreamCreateWithFlags
0.0,13906,2,6953.0,6953.0,6372,7534,821.7,cuStreamCreate
0.0,12173,3,4057.7,4138.0,1793,6242,2225.6,cudaEventQuery
0.0,8917,2,4458.5,4458.5,4228,4689,326.0,cuStreamDestroy_v2
0.0,6602,6,1100.3,1382.5,200,1803,690.7,cuEventCreate
0.0,6381,6,1063.5,561.0,270,2975,1053.9,cuEventDestroy_v2
0.0,5190,3,1730.0,1774.0,1383,2033,327.2,cuInit
0.0,3086,2,1543.0,1543.0,1543,1543,0.0,cuStreamSynchronize
0.0,2745,8,343.1,346.0,200,521,105.3,cuCtxSetCurrent
0.0,1091,4,272.8,110.0,80,791,346.2,cuModuleGetLoadingMode
