Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
12.1,4874400,22,221563.6,221549.5,221437,221661,58.0,CUDA_KERNEL,__myl_AddMulSumSub_0x0e621f3620960cbfd8501720accf6ff0
12.1,4869153,22,221325.1,221325.5,221181,221437,65.4,CUDA_KERNEL,__myl_AddMulSumSub_0xd230df01303305a73d1c0d6ac998d13a
9.5,3806352,110,34603.2,34592.0,34175,35168,268.0,CUDA_KERNEL,sm80_xmma_depthwise_convolution_fprop_tiling_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize1x6x6_1x3x3_1x1x1_1x1x1_stage4_warpsize4x1x1_g64_betaFalse_execute_kernel_trt
7.8,3158229,66,47852.0,63839.0,15264,64511,22982.1,CUDA_KERNEL,sm50_xmma_convolution_depthwiseHMMA_FP16NHWCx8_TR3_TS3_STRIDEH1_STRIDEW1_execute_kernel_trt
7.0,2827004,22,128500.2,128526.0,127966,129214,307.2,CUDA_KERNEL,__myl_MulReshConcTran_0xb7a17b255f4322f573065048adb59b68
6.9,2758301,22,125377.3,125406.0,125054,125630,122.0,CUDA_KERNEL,__myl_AddReluEqlCastNotCastDivSeleMulAddMulReshConcTran_0x972db51376c2a1f86a9afe9eda536aac
4.2,1698538,44,38603.1,38512.0,37440,39712,527.3,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
4.0,1591182,44,36163.2,36287.5,34879,37599,805.2,CUDA_KERNEL,"void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<(unsigned char)0, (unsigned char)1, (bool)0, (unsigned int)8, float, __half, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<(unsigned char)1, (unsigned char)0, (bool)0, (unsigned int)8, float, __half, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig2DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, (int)2, (int)16, (int)128, (int)128, (signed char)8, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<__half, float, __half, float>::Params>(T4)"
3.5,1428525,44,32466.5,32624.0,30336,34783,1311.2,CUDA_KERNEL,__myl_ReshAddRelu_0x54fd10a5bd05f87cea32397121f8c6e9
3.5,1411629,66,21388.3,21488.0,19520,22048,431.6,CUDA_KERNEL,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize256x64x32_stage3_warpsize4x1x1_tensor16x8x16_execute_kernel_trt
