Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
26.7,10008553,22,454934.2,338323.0,321586,2612176,484188.5,PushPop,TensorRT:ExecutionContext::enqueue
21.5,8067824,4,2016956.0,1970486.0,1468900,2657952,490097.6,StartEnd,:myelinGraphDeserializeBinary
11.5,4295019,4,1073754.8,1034461.0,631330,1594767,441643.7,StartEnd,myelin-exec:myelinGraphLoadPersistent
7.7,2874184,88,32661.2,28263.5,22663,86663,10734.8,StartEnd,myelin-exec:myelinGraphExecute 
3.8,1429856,4,357464.0,359989.0,210407,499471,118578.3,StartEnd,myelin-exec:myelinGraphUnloadPersistent
3.6,1342231,22,61010.5,50295.0,45776,245984,42625.5,PushPop,TensorRT:{ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
2.2,831812,22,37809.6,35802.5,32332,67758,7394.0,PushPop,TensorRT:{ForeignNode[ONNXTRT_Broadcast_164...neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise__330]}
2.1,789923,22,35905.6,32927.5,29255,79901,10546.9,PushPop,TensorRT:{ForeignNode[neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/Equal/y:0...neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise__234]}
2.0,765754,22,34807.0,32266.0,29806,77245,9918.2,PushPop,TensorRT:{ForeignNode[neural_receiver_onnx/cgnn/cgnn_it_1/aggregate_user_states_1/dense_2/Tensordot/ReadVariableOp:0...neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/separable_conv2d/depthwise__423]}
1.2,451712,22,20532.4,17307.5,16662,82286,13834.9,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise
0.9,323924,22,14723.8,14227.5,13705,23214,1968.5,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/separable_conv2d/depthwise
0.5,199124,22,9051.1,8701.0,8226,13065,1123.7,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_3/separable_conv2d/depthwise
0.5,196470,22,8930.5,8150.0,7785,16121,2078.7,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d_1/separable_conv2d/depthwise
0.5,180901,22,8222.8,8070.0,7634,11421,762.9,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_6/separable_conv2d/depthwise
0.5,175139,22,7960.9,6447.0,5811,38232,6776.2,PushPop,TensorRT:Reformatting CopyNode for Output Tensor 0 to {ForeignNode[neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/Equal/y:0...neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise__234]}
0.5,171774,22,7807.9,7554.5,7224,10731,745.0,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_4/separable_conv2d/depthwise
0.5,169170,22,7689.5,7584.0,7173,11121,808.4,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_7/separable_conv2d/depthwise
0.4,161374,22,7335.2,6678.0,6092,20960,3070.6,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise
0.4,148813,22,6764.2,6332.0,5971,14007,1651.3,PushPop,TensorRT:Reformatting CopyNode for Output Tensor 1 to {ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
0.4,147070,22,6685.0,6202.0,5720,15930,2096.7,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d_1/BiasAdd
0.4,145965,22,6634.8,5696.0,5310,24557,4023.9,PushPop,myelin-exec:neural_receiver_onnx/cgnn/cgnn_it_1/aggregate_user_states_1/dense_2/Tensordot/MatMul_myl18_1
0.4,145198,22,6599.9,5911.0,5189,18505,2750.0,PushPop,myelin-exec:__myl_Move_myl0_0
0.4,144782,22,6581.0,5806.0,5380,14938,2461.3,PushPop,myelin-exec:neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/dense/Tensordot/MatMul_myl9_2
0.4,142220,22,6464.5,5695.5,5180,22743,3651.6,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise
0.4,140945,22,6406.6,6146.5,5790,11322,1124.9,PushPop,TensorRT:Reformatting CopyNode for Output Tensor 0 to {ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
0.4,138425,22,6292.0,5610.0,5320,16371,2312.5,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to {ForeignNode[ONNXTRT_Broadcast_164...neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise__330]}
0.3,128655,22,5848.0,5736.0,5470,8486,611.5,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 1 to {ForeignNode[neural_receiver_onnx/cgnn/cgnn_it_1/aggregate_user_states_1/dense_2/Tensordot/ReadVariableOp:0...neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/separable_conv2d/depthwise__423]}
0.3,128491,22,5840.5,5420.0,5110,13295,1692.9,PushPop,myelin-exec:neural_receiver_onnx/cgnn/readout_ll_rs/dense_4/Tensordot_1/MatMul+neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/MatMul_myl27_1
0.3,127930,22,5815.0,5631.0,5310,9238,787.5,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/separable_conv2d/depthwise
0.3,126528,22,5751.3,5505.5,5110,9739,925.0,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise
0.3,123704,22,5622.9,5490.0,5210,7795,541.6,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 1 to {ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
0.3,121822,22,5537.4,5310.0,4970,9718,969.1,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/BiasAdd + neural_receiver_onnx/cgnn/cgnn_it/update_state/Relu
0.3,121768,22,5534.9,5421.0,5119,8186,633.1,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/BiasAdd + neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/Relu
0.3,119384,22,5426.5,5134.0,4859,10109,1074.4,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 1 to {ForeignNode[ONNXTRT_Broadcast_164...neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise__330]}
0.3,118925,22,5405.7,4894.0,4559,10911,1481.2,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d/BiasAdd + neural_receiver_onnx/cgnn/state_init/Relu
0.3,115397,22,5245.3,4844.0,4449,10029,1286.3,PushPop,myelin-exec:neural_receiver_onnx/cgnn/readout_ch_est/dense_7/Tensordot_1/MatMul_myl27_6
0.3,108463,22,4930.1,4423.0,4068,11833,1720.3,PushPop,myelin-exec:neural_receiver_onnx/cgnn/cgnn_it_1/aggregate_user_states_1/dense_3/Tensordot/MatMul_myl18_3
0.3,102962,22,4680.1,4328.0,4128,8365,1061.3,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_3/BiasAdd + neural_receiver_onnx/cgnn/cgnn_it/update_state/Relu_1
0.3,100871,22,4585.0,4368.5,4067,7855,863.1,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_6/BiasAdd + neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/Relu_1
0.3,100418,22,4564.5,4293.0,4038,8325,887.1,PushPop,myelin-exec:neural_receiver_onnx/cgnn/readout_ll_rs/dense_5/Tensordot_1/MatMul_myl27_7
0.3,99411,22,4518.7,4363.0,4158,7104,611.8,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_4/BiasAdd
0.3,98989,22,4499.5,4368.0,4177,6412,452.6,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_7/BiasAdd
0.3,98117,22,4459.9,4228.0,3927,6753,765.9,PushPop,myelin-exec:neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/dense_1/Tensordot/MatMul_myl9_4
0.2,89216,22,4055.3,3691.5,3346,9087,1223.6,PushPop,myelin-exec:__myl_TranAddTran_myl27_0
