Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.4,1232495906,15,82166393.7,101784136.0,4459,104068934,42532594.1,cudaEventSynchronize
30.8,619439331,2806,220755.3,50566.0,21119,73005956,2086573.5,cuLibraryLoadData
5.2,103950211,9,11550023.4,7144.0,932,103631780,34530782.1,cudaStreamSynchronize
1.0,20072863,14,1433775.9,10604.5,161,19081795,5080919.9,cudaFree
0.3,6777792,1,6777792.0,6777792.0,6777792,6777792,0.0,cudaMallocAsync_v11020
0.3,6231671,29,214885.2,79691.0,64051,2512287,451779.0,cuModuleLoadData
0.3,5544810,39,142174.6,12224.0,3687,2378485,391973.7,cudaMalloc
0.1,2693380,431,6249.1,4929.0,3246,48031,4844.8,cuLaunchKernel
0.1,1729297,316,5472.5,4438.5,3256,66535,5113.1,cudaLaunchKernel
0.1,1618500,35,46242.9,39514.0,16171,144222,29553.7,cuModuleUnload
0.1,1495079,375,3986.9,3778.0,2996,11201,959.4,cuLaunchKernelEx
0.1,1448783,1,1448783.0,1448783.0,1448783,1448783,0.0,cudaHostAlloc
0.1,1206215,1,1206215.0,1206215.0,1206215,1206215,0.0,cudaGetDeviceProperties_v2_v12000
0.0,969119,9,107679.9,107763.0,73228,148611,19598.0,cuModuleLoadFatBinary
0.0,614708,2514,244.5,150.0,60,11722,345.9,cuGetProcAddress_v2
0.0,519294,36,14424.8,10324.5,70,123974,23362.3,cudaMemcpyAsync
0.0,189698,1,189698.0,189698.0,189698,189698,0.0,cudaDeviceSynchronize
0.0,158368,32,4949.0,4087.0,2334,20930,3435.9,cudaEventRecord
0.0,110606,94,1176.7,170.5,90,75171,7930.1,cudaMemsetAsync
0.0,110489,1,110489.0,110489.0,110489,110489,0.0,cudaMemGetInfo
0.0,100569,5,20113.8,10790.0,2365,41849,19546.5,cudaStreamCreate
0.0,84341,92,916.8,336.0,280,7995,1352.2,cudaEventCreateWithFlags
0.0,84219,2,42109.5,42109.5,24296,59923,25192.1,cuMemcpyAsync
0.0,58388,91,641.6,370.0,210,2605,607.9,cudaEventDestroy
0.0,55958,68,822.9,426.0,340,3637,846.9,cudaStreamIsCapturing_v10000
0.0,53991,30,1799.7,1027.0,451,6302,1810.4,cuStreamWaitEvent
0.0,41537,30,1384.6,961.5,370,5541,1518.9,cuEventRecord
0.0,40015,4,10003.8,7624.0,5150,19617,6562.3,cudaStreamDestroy
0.0,18344,7,2620.6,2304.0,1132,4649,1230.5,cuInit
0.0,17243,2,8621.5,8621.5,8526,8717,135.1,cuStreamCreate
0.0,10731,2,5365.5,5365.5,2515,8216,4031.2,cudaEventQuery
0.0,9317,2,4658.5,4658.5,4508,4809,212.8,cuStreamDestroy_v2
0.0,6713,6,1118.8,1397.5,281,1703,667.4,cuEventCreate
0.0,5609,6,934.8,641.0,260,2655,884.0,cuEventDestroy_v2
0.0,3517,8,439.6,335.5,240,831,220.9,cuCtxSetCurrent
0.0,3216,2,1608.0,1608.0,1553,1663,77.8,cuStreamSynchronize
0.0,2743,8,342.9,125.0,100,1683,546.3,cuModuleGetLoadingMode
