Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
25.9,406224483,1,406224483.0,406224483.0,406224483,406224483,0.0,PushPop,:public_wrapper_f_input
20.1,314806425,1,314806425.0,314806425.0,314806425,314806425,0.0,PushPop,:raw_plus_output_conversion
20.0,314307585,1,314307585.0,314307585.0,314307585,314307585,0.0,PushPop,:raw_pycuphy
19.7,308958778,1,308958778.0,308958778.0,308958778,308958778,0.0,PushPop,:public_wrapper_c_input
11.8,185627138,1,185627138.0,185627138.0,185627138,185627138,0.0,PushPop,:pack_c_to_f
0.7,10203803,15,680253.5,474995.0,437075,2277485,474503.8,PushPop,TensorRT:ExecutionContext::enqueue
0.6,8723101,4,2180775.3,2323506.5,1456918,2619170,502650.2,StartEnd,:myelinGraphDeserializeBinary
0.3,4797508,4,1199377.0,1283881.5,650597,1579148,445535.0,StartEnd,myelin-exec:myelinGraphLoadPersistent
0.2,3131594,60,52193.2,47830.5,29084,123032,19120.2,StartEnd,myelin-exec:myelinGraphExecute 
0.1,1208671,15,80578.1,71044.0,59883,148280,22186.7,PushPop,TensorRT:{ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
0.1,1045159,15,69677.3,51517.0,41268,166734,34090.2,PushPop,TensorRT:{ForeignNode[neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/Equal/y:0...neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise__234]}
0.1,1029811,4,257452.8,251739.5,164289,362043,90295.7,StartEnd,myelin-exec:myelinGraphUnloadPersistent
0.1,931064,15,62070.9,57218.0,44384,139153,23267.8,PushPop,TensorRT:{ForeignNode[ONNXTRT_Broadcast_164...neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise__330]}
0.1,848360,15,56557.3,50575.0,39275,111270,17461.1,PushPop,TensorRT:{ForeignNode[neural_receiver_onnx/cgnn/cgnn_it_1/aggregate_user_states_1/dense_2/Tensordot/ReadVariableOp:0...neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/separable_conv2d/depthwise__423]}
0.0,618274,15,41218.3,25888.0,21801,105980,25398.5,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise
0.0,267376,15,17825.1,9689.0,8716,45266,12067.8,PushPop,TensorRT:Reformatting CopyNode for Output Tensor 0 to {ForeignNode[neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/Equal/y:0...neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise__234]}
0.0,266092,15,17739.5,17352.0,16050,21080,1288.2,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_5/separable_conv2d/depthwise
0.0,237778,15,15851.9,11071.0,7875,39144,9518.0,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise
0.0,198114,15,13207.6,10119.0,7764,30147,6576.6,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d_1/BiasAdd
0.0,195609,15,13040.6,8185.0,7053,34655,8127.6,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to neural_receiver_onnx/cgnn/state_init/separable_conv2d/separable_conv2d/depthwise
0.0,194045,15,12936.3,11131.0,10099,25928,4080.2,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d_1/separable_conv2d/depthwise
0.0,184391,15,12292.7,11893.0,10430,16822,1744.0,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_3/separable_conv2d/depthwise
0.0,183144,15,12209.6,10059.0,7223,25258,5137.7,PushPop,myelin-exec:neural_receiver_onnx/cgnn/cgnn_it_1/aggregate_user_states_1/dense_2/Tensordot/MatMul_myl18_1
0.0,181493,15,12099.5,8807.0,7253,27983,6044.2,PushPop,myelin-exec:neural_receiver_onnx/cgnn/cgnn_it/aggregate_user_states/dense/Tensordot/MatMul_myl9_2
0.0,161337,15,10755.8,10460.0,9679,14728,1313.0,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_6/separable_conv2d/depthwise
0.0,158239,15,10549.3,9017.0,7635,23364,4138.3,PushPop,TensorRT:Reformatting CopyNode for Output Tensor 0 to {ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
0.0,152210,15,10147.3,9568.0,8936,13376,1273.5,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_4/separable_conv2d/depthwise
0.0,144183,15,9612.2,9498.0,8607,10981,623.8,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it_1/update_state_1/separable_conv2d_7/separable_conv2d/depthwise
0.0,140845,15,9389.7,7535.0,5871,25939,5302.7,PushPop,myelin-exec:__myl_Move_myl0_0
0.0,135283,15,9018.9,8526.0,7233,16531,2273.1,PushPop,TensorRT:Reformatting CopyNode for Output Tensor 1 to {ForeignNode[neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/ReadVariableOp:0...neural_receiver_onnx/transpose]}
0.0,134981,60,2249.7,1162.5,632,20659,3202.4,StartEnd,myelin-exec:myelinGraphLoad
0.0,134677,15,8978.5,7565.0,6602,16451,2883.7,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 0 to {ForeignNode[ONNXTRT_Broadcast_164...neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise__330]}
0.0,131819,15,8787.9,7885.0,6672,18054,2817.1,PushPop,TensorRT:neural_receiver_onnx/cgnn/state_init/separable_conv2d/BiasAdd + neural_receiver_onnx/cgnn/state_init/Relu
0.0,130850,15,8723.3,8166.0,6473,12644,2034.5,PushPop,myelin-exec:neural_receiver_onnx/cgnn/readout_ll_rs/dense_4/Tensordot_1/MatMul+neural_receiver_onnx/cgnn/readout_ch_est/dense_6/Tensordot_1/MatMul_myl27_1
0.0,125548,15,8369.9,6512.0,6051,14939,2923.3,PushPop,TensorRT:Reformatting CopyNode for Input Tensor 1 to {ForeignNode[ONNXTRT_Broadcast_164...neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/separable_conv2d/depthwise__330]}
0.0,123121,60,2052.0,1387.5,771,10710,1921.6,StartEnd,myelin-exec:myelinGraphUnload
0.0,119998,15,7999.9,7224.0,6111,17312,2747.0,PushPop,TensorRT:neural_receiver_onnx/cgnn/cgnn_it/update_state/separable_conv2d_2/BiasAdd + neural_receiver_onnx/cgnn/cgnn_it/update_state/Relu
