day,group,files,json,log,csv,md,txt,png,rep,sqlite,py,traceback_files
20260531,EXPERIMENTS_20260531.md,1,,,,1,,,,,,
20260531,MIG_INEFFICIENCY_REPORT.md,1,,,,1,,,,,,
20260531,MIG_L1_ISOLATION_SYNTHESIS.md,1,,,,1,,,,,,
20260531,NCU_ANALYSIS_20260531.md,1,,,,1,,,,,,
20260531,NSYS_ANALYSIS_20260531.md,1,,,,1,,,,,,
20260531,NSYS_DEEP_DIVE.md,1,,,,1,,,,,,
20260531,NSYS_DETAILED_ANALYSIS.md,1,,,,1,,,,,,
20260531,ai_full_matrix,190,,190,,,,,,,,20
20260531,ai_per_op_latency,160,,160,,,,,,,,10
20260531,ai_per_op_latency_b,80,,80,,,,,,,,
20260531,ai_supplement,233,,233,,,,,,,,
20260531,ai_throughput_v2,48,,40,,,8,,,,,
20260531,analyze.py,1,,,,,,,,,1,
20260531,analyze_deep_A_concurrent.py,1,,,,,,,,,1,
20260531,analyze_deep_A_summary.py,1,,,,,,,,,1,
20260531,analyze_deep_B_transition.py,1,,,,,,,,,1,
20260531,analyze_deep_CDE.py,1,,,,,,,,,1,
20260531,analyze_deep_Dv2.py,1,,,,,,,,,1,
20260531,analyze_nsight_full.py,1,,,,,,,,,1,
20260531,analyze_nsys_advanced.py,1,,,,,,,,,1,
20260531,analyze_nsys_comprehensive.py,1,,,,,,,,,1,
20260531,analyze_nsys_gaps.py,1,,,,,,,,,1,
20260531,analyze_nsys_sqlite.py,1,,,,,,,,,1,
20260531,analyze_nsys_v2.py,1,,,,,,,,,1,
20260531,chain_nsys_deep.log,1,,1,,,,,,,,
20260531,chain_nsys_deep_postfix.log,1,,1,,,,,,,,
20260531,chain_overnight.log,1,,1,,,,,,,,
20260531,figures,37,,,,1,,36,,,,
20260531,generate_figures_20260531.py,1,,,,,,,,,1,
20260531,l1_multi_ai,345,,345,,,,,,,,
20260531,n20_baseline_2g_alone,20,,20,,,,,,,,
20260531,n20_baseline_3g_alone,20,,20,,,,,,,,
20260531,n20_baseline_4g_alone,20,,20,,,,,,,,
20260531,n20_baseline_7g_single,20,,20,,,,,,,,
20260531,n20_baseline_fullGPU,43,20,20,1,,2,,,,,
20260531,n20_baseline_fullGPU_v2,20,,20,,,,,,,,
20260531,n20_phase1_qwen7b_decode,43,20,20,1,,2,,,,,
20260531,n20_phase1_qwen7b_prefill,43,20,20,1,,2,,,,,
20260531,n20_phase1_qwen7b_stress,43,20,20,1,,2,,,,,
20260531,n20_phase1_qwen_small,43,20,20,1,,2,,,,,
20260531,n20_phase2_M1_3way_balanced,43,20,20,1,,2,,,,,
20260531,n20_phase2_M2_3way_L1small,43,20,20,1,,2,,,,,
20260531,n20_phase2_M3_3way_asym,43,20,20,1,,2,,,,,
20260531,n20_phase2_M4_4way_1L1_3AI,43,20,20,1,,2,,,,,
20260531,n20_phase3_D1_L1_starved,43,20,20,1,,2,,,,,
20260531,n20_phase3_D2_L1_boosted,43,20,20,1,,2,,,,,
20260531,n20_phase4_chanpred,43,20,20,1,,2,,,,,
20260531,n20_phase4_neuralrx,43,20,20,1,,2,,,,,
20260531,n20_phase4_xapp,43,20,20,1,,2,,,,,
20260531,n2_sanity_post_reboot,5,2,2,,,1,,,,,
20260531,ncu,48,,16,16,,,,,,,
20260531,ncu_csv,16,,,16,,,,,,,
20260531,ncu_v1_13metrics,27,,9,9,,,,,,,
20260531,nsight_csv,16,,,16,,,,,,,
20260531,nsys,25,,25,,,,,,,,
20260531,nsys_csv,16,,,16,,,,,,,
20260531,nsys_csv_v1_short,16,,,16,,,,,,,
20260531,nsys_csv_v2,78,,,78,,,,,,,
20260531,nsys_deep_A,21,,,,,,,,10,,
20260531,nsys_deep_A_analysis,7,2,,5,,,,,,,
20260531,nsys_deep_B,18,,,6,,,,,6,,
20260531,nsys_deep_B_analysis,6,,,6,,,,,,,
20260531,nsys_deep_C,64,,,,,,,,32,,
20260531,nsys_deep_C_analysis,2,,,2,,,,,,,
20260531,nsys_deep_D,36,,,,,,,,18,,
20260531,nsys_deep_D_analysis,2,,,2,,,,,,,
20260531,nsys_deep_Dv2,120,,,,,,,,60,,
20260531,nsys_deep_Dv2_analysis,1,,,1,,,,,,,
20260531,nsys_deep_E,29,,,,,,,,14,,
20260531,nsys_deep_E_analysis,1,,,1,,,,,,,
20260531,nsys_deep_F,17,,,,,,,,,,
20260531,nsys_full,129,,,,,,,,58,,
20260531,nsys_sqlite_v2,78,,,,,,,,78,,
20260531,nsys_sqlite_v2_analysis,9,,,9,,,,,,,
20260531,nsys_v1_short,32,,,,,,,,16,,
20260531,p3_partition_sweep,180,,180,,,,,,,,
20260531,p4_l1_timeseries,27,,27,,,,,,,,
20260531,p5_sustained,36,,18,18,,,,,,,
20260531,p7_pdsch_tx,45,,45,,,,,,,,45
20260601,F_saturation,466,205,56,,,,,,,,1
20260601,G_coloc,217,95,27,,,,,,,,1
20260601,H_dual,31,9,,,,,,,,,
20260601,I_ncu,15,,,15,,,,,,,
20260601,NSYS_20260601_ANALYSIS.md,1,,,,1,,,,,,
20260601,analysis_F,1,,,1,,,,,,,
20260601,analysis_G,1,,,1,,,,,,,
20260601,analyze_F_saturation.py,1,,,,,,,,,1,
20260601,analyze_G_coloc.py,1,,,,,,,,,1,
20260601,chain_overnight_v2.log,1,,1,,,,,,,,
20260601,chain_resume.log,1,,1,,,,,,,,
