day,group,condition,n,mean_ms,mean_sd,p99_ms,p99_sd,max_ms,max_sd
20260531,l1_multi_ai,alone,90,41.067,5.263,41.966,5.561,41.966,5.561
20260531,l1_multi_ai,multi,90,40.543,5.113,41.482,5.377,41.482,5.377
20260531,n20_baseline_2g_alone,n20_baseline_2g_alone,20,51.010,1.869,52.143,1.965,52.143,1.965
20260531,n20_baseline_3g_alone,n20_baseline_3g_alone,20,40.203,1.937,41.321,2.317,41.321,2.317
20260531,n20_baseline_4g_alone,n20_baseline_4g_alone,20,39.073,2.071,40.468,3.710,40.468,3.710
20260531,n20_baseline_7g_single,n20_baseline_7g_single,20,37.208,1.795,38.596,1.948,38.596,1.948
20260531,n20_baseline_fullGPU,n20_baseline_fullGPU,20,53.727,1.882,73.956,10.348,76.698,13.398
20260531,n20_baseline_fullGPU_v2,n20_baseline_fullGPU_v2,20,36.377,1.807,39.176,5.507,39.176,5.507
20260531,n20_phase1_qwen7b_decode,n20_phase1_qwen7b_decode,20,54.228,1.857,70.758,6.146,73.799,10.366
20260531,n20_phase1_qwen7b_prefill,n20_phase1_qwen7b_prefill,20,53.803,1.804,70.203,5.174,72.491,8.355
20260531,n20_phase1_qwen7b_stress,n20_phase1_qwen7b_stress,20,52.966,1.416,69.723,4.967,71.490,6.274
20260531,n20_phase1_qwen_small,n20_phase1_qwen_small,20,52.781,1.380,67.958,2.656,68.754,2.959
20260531,n20_phase2_M1_3way_balanced,n20_phase2_M1_3way_balanced,20,53.358,1.957,71.636,7.217,73.678,9.185
20260531,n20_phase2_M2_3way_L1small,n20_phase2_M2_3way_L1small,20,65.983,1.226,84.451,5.719,87.081,9.055
20260531,n20_phase2_M3_3way_asym,n20_phase2_M3_3way_asym,20,53.957,2.040,70.903,5.264,73.640,8.318
20260531,n20_phase2_M4_4way_1L1_3AI,n20_phase2_M4_4way_1L1_3AI,20,53.211,1.544,73.534,7.174,76.660,10.532
20260531,n20_phase3_D1_L1_starved,n20_phase3_D1_L1_starved,20,66.706,1.968,82.888,4.009,85.046,5.644
20260531,n20_phase3_D2_L1_boosted,n20_phase3_D2_L1_boosted,20,53.674,1.912,73.099,7.333,77.260,11.485
20260531,n20_phase4_chanpred,n20_phase4_chanpred,20,53.971,1.822,71.059,6.860,74.752,10.258
20260531,n20_phase4_neuralrx,n20_phase4_neuralrx,20,60.435,1.552,196.682,18.588,215.521,33.595
20260531,n20_phase4_xapp,n20_phase4_xapp,20,52.926,1.226,68.850,3.724,70.905,4.913
20260531,n2_sanity_post_reboot,n2_sanity_post_reboot,2,53.266,2.194,54.683,2.194,54.795,2.199
20260531,ncu,ncu,15,99065.760,121724.966,99136.028,121804.835,99136.028,121804.835
20260531,ncu_v1_13metrics,ncu_v1_13metrics,7,77420.027,107822.229,77438.991,107839.677,77438.991,107839.677
20260531,p3_partition_sweep,alone,20,40.517,1.681,47.028,15.202,47.028,15.202
20260531,p3_partition_sweep,chanpred,20,38.465,1.658,40.499,5.016,40.499,5.016
20260531,p3_partition_sweep,forecaster,20,38.621,2.300,47.343,20.924,47.343,20.924
20260531,p3_partition_sweep,neuralrx,20,42.441,5.553,76.420,50.891,76.420,50.891
20260531,p3_partition_sweep,qwen_small,20,38.997,2.385,42.463,12.743,42.463,12.743
20260531,p3_partition_sweep,resnet,20,39.080,2.362,45.203,20.309,45.203,20.309
20260531,p3_partition_sweep,sat_compute,20,40.456,4.517,55.831,40.669,55.831,40.669
20260531,p3_partition_sweep,sat_hbm,20,39.806,3.348,48.898,20.286,48.898,20.286
20260531,p3_partition_sweep,xapp,20,39.424,2.080,40.420,2.170,40.420,2.170
20260531,p4_l1_timeseries,alone,3,38.435,0.819,62.787,18.841,62.787,18.841
20260531,p4_l1_timeseries,chanpred,3,39.601,2.243,63.720,20.936,63.720,20.936
20260531,p4_l1_timeseries,forecaster,3,38.930,1.881,49.391,12.685,49.391,12.685
20260531,p4_l1_timeseries,neuralrx,3,41.665,1.943,114.310,4.877,114.310,4.877
20260531,p4_l1_timeseries,qwen_small,3,38.128,0.821,56.310,20.297,56.310,20.297
20260531,p4_l1_timeseries,resnet,3,39.256,1.040,59.896,19.196,59.896,19.196
20260531,p4_l1_timeseries,sat_compute,3,39.196,0.411,87.584,15.153,87.584,15.153
20260531,p4_l1_timeseries,sat_hbm,3,39.616,2.287,56.294,18.427,56.294,18.427
20260531,p4_l1_timeseries,xapp,3,42.179,1.915,95.138,5.415,95.138,5.415
20260531,p5_sustained,alone,2,37.779,0.014,45.097,4.121,45.097,4.121
20260531,p5_sustained,chanpred,2,39.776,2.405,48.155,8.285,48.155,8.285
20260531,p5_sustained,forecaster,2,39.407,2.069,42.847,2.062,42.847,2.062
20260531,p5_sustained,neuralrx,2,39.568,2.268,42.651,2.581,42.651,2.581
20260531,p5_sustained,qwen_small,2,39.921,2.104,45.211,2.187,45.211,2.187
20260531,p5_sustained,resnet,2,37.537,0.065,42.173,0.075,42.173,0.075
20260531,p5_sustained,sat_compute,2,40.601,1.114,88.597,10.231,88.597,10.231
20260531,p5_sustained,sat_hbm,2,39.212,1.617,52.430,2.140,52.430,2.140
20260531,p5_sustained,xapp,2,38.994,1.441,41.631,1.631,41.631,1.631
20260601,F_saturation,F_0_alone,10,43.502,1.566,53.672,7.565,56.042,8.766
20260601,F_saturation,F_B_D2D_sz1024_str1,5,42.428,1.985,44.009,2.089,44.438,2.145
20260601,F_saturation,F_B_D2D_sz1024_str4,5,42.982,1.465,44.576,1.427,45.254,1.727
20260601,F_saturation,F_B_D2D_sz1024_str8,5,43.011,1.535,44.820,1.312,45.646,0.908
20260601,F_saturation,F_B_D2D_sz16_str1,5,41.636,1.894,43.272,1.819,43.611,1.562
20260601,F_saturation,F_B_D2D_sz16_str4,5,42.129,1.765,43.564,1.902,44.539,1.992
20260601,F_saturation,F_B_D2D_sz16_str8,5,42.939,1.470,44.626,1.394,45.180,1.431
20260601,F_saturation,F_B_D2D_sz256_str1,5,43.127,1.578,44.625,1.742,45.126,1.421
20260601,F_saturation,F_B_D2D_sz256_str4,5,42.731,1.357,44.332,1.463,45.204,1.364
20260601,F_saturation,F_B_D2D_sz256_str8,5,42.953,1.477,44.494,1.652,45.086,1.290
20260601,F_saturation,F_B_D2D_sz64_str1,5,43.933,0.045,45.607,0.091,45.991,0.235
20260601,F_saturation,F_B_D2D_sz64_str4,5,42.723,1.530,44.310,1.479,44.798,1.439
20260601,F_saturation,F_B_D2D_sz64_str8,5,43.263,0.452,45.141,0.586,46.886,2.396
20260601,F_saturation,F_C_H2D_sz16_str1,5,43.314,1.624,44.841,1.702,45.761,1.814
20260601,F_saturation,F_C_H2D_sz16_str4,5,44.853,1.496,46.593,1.677,48.152,1.930
20260601,F_saturation,F_C_H2D_sz256_str1,5,45.316,0.425,47.006,0.698,47.906,1.038
20260601,F_saturation,F_C_H2D_sz256_str4,5,45.025,1.104,47.122,1.292,48.612,1.878
20260601,F_saturation,F_C_H2D_sz64_str1,5,44.536,1.465,46.408,1.742,47.328,2.180
20260601,F_saturation,F_C_H2D_sz64_str4,5,44.319,1.332,46.703,1.928,49.468,4.757
20260601,F_saturation,F_D_GEMM_d1024,5,42.689,1.477,44.412,1.344,44.737,1.340
20260601,F_saturation,F_D_GEMM_d2048,5,42.644,2.010,47.201,6.688,48.236,7.349
20260601,F_saturation,F_D_GEMM_d4096,5,42.149,1.822,43.810,1.965,44.324,2.108
20260601,F_saturation,F_D_GEMM_d512,5,42.682,1.453,44.290,1.639,44.756,1.675
20260601,F_saturation,F_E_chanpred_b1,5,43.774,0.437,45.671,0.241,46.143,0.459
20260601,F_saturation,F_E_chanpred_b1024,5,42.830,1.462,44.585,1.374,44.969,1.455
20260601,F_saturation,F_E_chanpred_b16,5,42.906,1.572,44.582,1.609,44.826,1.466
20260601,F_saturation,F_E_chanpred_b256,5,44.073,0.526,48.536,5.881,49.391,5.843
20260601,F_saturation,F_E_chanpred_b64,5,41.623,1.868,43.372,1.900,43.962,1.520
20260601,F_saturation,F_E_forecaster_d1024,5,43.046,1.534,44.900,1.351,45.554,1.565
20260601,F_saturation,F_E_forecaster_d256,5,42.736,1.489,44.577,1.297,44.997,1.411
20260601,F_saturation,F_E_forecaster_d512,5,42.894,1.563,44.591,1.343,45.379,1.361
20260601,F_saturation,F_E_resnet_b16,5,42.553,1.312,44.284,1.302,44.789,0.962
20260601,F_saturation,F_E_resnet_b256,5,42.541,1.368,44.116,1.410,44.699,1.053
20260601,F_saturation,F_E_resnet_b64,5,42.981,1.460,44.541,1.388,45.193,1.380
20260601,F_saturation,F_F_stack_chanpred_x2,5,43.071,1.605,45.077,1.692,45.404,1.797
20260601,F_saturation,F_F_stack_chanpred_x4,5,43.454,0.445,45.149,0.416,45.655,0.343
20260601,F_saturation,F_F_stack_chanpred_x8,5,44.180,0.370,45.920,0.532,46.602,0.812
20260601,F_saturation,F_F_stack_resnet_x2,5,42.707,1.398,44.276,1.360,44.829,1.570
