round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,500,35.0,3.951778886,11.999370929999998,24.576055236999835,28.12581,0,0,0.0,0,0
1,58625542,protected_gemm,500,35.0,3.85221799,13.396169609999994,16.51386928299999,16.728331,0,13438,537.52,0,0
1,58625542,protected_hbm,500,35.0,3.729119062,10.395813479999987,20.01680504099983,23.595903,0,17131,685.24,0,0
1,58625542,uncontrolled_gemm,500,35.0,6.953665882,16.531186599999987,21.755398602999996,21.861737,0,20282,811.28,0,0
1,58625542,uncontrolled_hbm,500,35.0,9.923361655999999,20.831559919999993,26.026900414999965,26.752903,0,26055,1042.2,0,0
2,58625542,mps_alone,500,35.0,3.94391276,9.302929429999999,25.135388315999975,25.62756,0,0,0.0,0,0
2,58625542,protected_gemm,500,35.0,3.899101564,15.706439099999995,18.300759985999925,19.830188,0,13553,542.12,0,0
2,58625542,protected_hbm,500,35.0,3.775310796,10.913354049999983,17.330200133999913,19.21,0,17071,682.84,0,0
2,58625542,uncontrolled_gemm,500,35.0,7.035799208,17.644638409999992,22.802688337999943,23.999459,0,20199,807.96,0,0
2,58625542,uncontrolled_hbm,500,35.0,9.837077116,19.723712789999993,23.25378947999998,23.679676,0,26170,1046.8,0,0
3,58625542,mps_alone,500,35.0,4.147846948,18.422245709999995,24.872055009999908,26.845106,0,0,0.0,0,0
3,58625542,protected_gemm,500,35.0,4.027662056,15.407250869999995,20.767970934999877,23.357998,0,13364,534.56,0,0
3,58625542,protected_hbm,500,35.0,3.886926122,16.531382679999997,20.08991841899995,21.105842,0,17005,680.2,0,0
3,58625542,uncontrolled_gemm,500,35.0,7.1125141,18.509950449999998,25.10907495599988,27.64547,0,20189,807.56,0,0
3,58625542,uncontrolled_hbm,500,35.0,10.424220274,28.554522809999995,38.90751067399985,42.135878,2,26090,1043.6,0,0
4,58625542,mps_alone,500,35.0,4.168712604,17.31194129999999,23.965860679999835,27.44423,0,0,0.0,0,0
4,58625542,protected_gemm,500,35.0,3.76895199,11.321042719999996,16.74737406899997,17.363923,0,13485,539.4,0,0
4,58625542,protected_hbm,500,35.0,3.802871558,14.935278039999988,27.60634993399991,29.561898,0,17067,682.68,0,0
4,58625542,uncontrolled_gemm,500,35.0,6.990375864,18.014523049999998,19.963149857999994,20.057889,0,20046,801.84,0,0
4,58625542,uncontrolled_hbm,500,35.0,10.109169476,23.499776459999996,29.581867051999936,30.869313,0,26223,1048.92,0,0
5,58625542,mps_alone,500,35.0,3.81708617,9.25710845,11.217215968999938,12.566247,0,0,0.0,0,0
5,58625542,protected_gemm,500,35.0,3.76091235,11.300610079999988,22.44936669899973,28.194952,0,13409,536.36,0,0
5,58625542,protected_hbm,500,35.0,3.793014818,15.61107874,18.01525455099997,18.638032,0,17006,680.24,0,0
5,58625542,uncontrolled_gemm,500,35.0,7.08863348,18.263520299999996,25.548865730999964,26.320435,0,20007,800.28,0,0
5,58625542,uncontrolled_hbm,500,35.0,10.808587212,32.19348567,38.40079289299987,41.243293,3,26226,1049.04,0,0
