round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,500,35.0,3.899217226,12.638814399999989,16.257149780999978,16.740322,0,0,0.0,0,0
1,58625542,protected_nrx,500,35.0,3.924976006,15.69061070999999,21.05743457399999,21.252331,0,15734,629.36,0,0
1,58625542,uncontrolled_nrx,500,35.0,5.68782563,23.67068951,39.44923328399954,49.114506,1,23961,958.44,0,0
2,58625542,mps_alone,500,35.0,4.230589902,18.32749412,26.61133170399991,28.474949,0,0,0.0,0,0
2,58625542,protected_nrx,500,35.0,3.732072702,15.184911389999996,20.099388819999923,21.691109,0,15776,631.04,0,0
2,58625542,uncontrolled_nrx,500,35.0,4.94519518,15.520976679999999,17.47951449199997,18.061594,0,24018,960.72,0,0
3,58625542,mps_alone,500,35.0,3.954621028,14.225986199999998,19.386597904999917,21.102362,0,0,0.0,0,0
3,58625542,protected_nrx,500,35.0,3.672648486,10.02545308,16.532689715999876,19.197208,0,15873,634.92,0,0
3,58625542,uncontrolled_nrx,500,35.0,4.75540713,14.887106429999987,17.831042874999987,18.049792,0,24062,962.48,0,0
4,58625542,mps_alone,500,35.0,3.859316594,9.636043509999999,18.430354968999957,19.296354,0,0,0.0,0,0
4,58625542,protected_nrx,500,35.0,3.86960964,15.571211439999997,20.46589871699993,21.922089,0,15709,628.36,0,0
4,58625542,uncontrolled_nrx,500,35.0,4.850369232,14.321852709999995,15.307007267999998,15.341073,0,24117,964.68,0,0
5,58625542,mps_alone,500,35.0,4.137250526,14.983977199999986,23.951341292999757,29.058004,0,0,0.0,0,0
5,58625542,protected_nrx,500,35.0,3.728159588,10.229023699999997,14.090163247999998,14.140686,0,15814,632.56,0,0
5,58625542,uncontrolled_nrx,500,35.0,5.208437234,17.176108809999988,27.261582240999942,28.485999,0,23935,957.4,0,0
