round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,1000,11.0,4.810382574,5.129393,7.451363852999926,10.571094,0,0,0.0,0,0
1,58625542,protected_nrx,1000,11.0,4.083114893,4.41963789,6.149380124999982,6.945708,0,1970,197.0,1,0
1,58625542,uncontrolled_nrx,1000,11.0,5.425417377,5.796521589999999,8.147118506999977,9.15162,0,9212,921.2,0,0
2,58625542,mps_alone,1000,11.0,4.735362928,5.05613186,8.0857642209999,12.292774,1,0,0.0,0,0
2,58625542,protected_nrx,1000,11.0,4.251598503,4.6147377999999994,8.008950125999997,8.136948,0,1666,166.6,2,0
2,58625542,uncontrolled_nrx,1000,11.0,5.294518997,5.6819627399999995,8.969562337999976,9.900968,0,9080,908.0,0,0
3,58625542,mps_alone,1000,11.0,4.591308064,4.791742279999999,5.288204115999911,9.056548,0,0,0.0,0,0
3,58625542,protected_nrx,1000,11.0,4.274164019,4.738456189999999,7.131426879999947,9.359077,0,1515,151.5,0,0
3,58625542,uncontrolled_nrx,1000,11.0,5.777405021,6.2577604099999995,9.890327690999998,10.001907,0,9068,906.8,0,0
4,58625542,mps_alone,1000,11.0,4.708137343,5.05297461,9.427248313999945,11.798189,1,0,0.0,0,0
4,58625542,protected_nrx,1000,11.0,4.609601033,5.2852089799999975,8.759249831999993,9.033807,0,1044,104.4,1,0
4,58625542,uncontrolled_nrx,1000,11.0,5.405644875,5.7683738700000005,9.40977111299998,10.257036,0,9261,926.1,0,0
5,58625542,mps_alone,1000,11.0,4.51797447,4.82870812,6.394950495999951,8.476363,0,0,0.0,0,0
5,58625542,protected_nrx,1000,11.0,4.444581252,4.85695263,7.159218906999929,10.1821,0,1010,101.0,0,0
5,58625542,uncontrolled_nrx,1000,11.0,5.447109107,5.956679959999999,8.04256802699996,9.730905,0,9225,922.5,0,0
