round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,incorrect_transport_blocks,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,1000,18.0,8.799367313,9.10763463,12.897983447999954,14.819508,0,0,0,0.0,0,0
1,58625542,protected_nrx,1000,18.0,8.073916589,11.428002289999998,12.901941833999938,15.501174,0,0,4896,244.8,0,0
1,58625542,uncontrolled_nrx,1000,18.0,12.150210817,12.69333232,16.173383134999984,16.833857,0,0,18478,923.9,0,0
2,58625542,mps_alone,1000,18.0,9.980387535,10.44691475,13.49996051999995,15.567411,0,0,0,0.0,0,0
2,58625542,protected_nrx,1000,18.0,8.044001102,10.27924384,12.260712245999995,12.44877,0,0,4891,244.55,0,0
2,58625542,uncontrolled_nrx,1000,18.0,10.633658707,11.17145766,14.605109548999996,14.737526,0,0,18384,919.2,0,0
3,58625542,mps_alone,1000,18.0,8.718343005,9.03556316,11.142011591999909,15.036705,0,0,0,0.0,0,0
3,58625542,protected_nrx,1000,18.0,8.032455035,8.390218500000001,11.463746748999945,13.76719,0,0,4974,248.7,0,0
3,58625542,uncontrolled_nrx,1000,18.0,10.643198865,11.066975789999999,15.394611110999897,19.72239,1,0,18437,921.85,0,0
4,58625542,mps_alone,1000,18.0,8.781267682,9.20838532,12.294951175999968,13.675745,0,0,0,0.0,0,0
4,58625542,protected_nrx,1000,18.0,8.208620565,10.97465414,13.786296514999993,14.018579,0,0,4873,243.65,0,0
4,58625542,uncontrolled_nrx,1000,18.0,10.610799973,11.09960432,15.241627056999992,15.582343,0,0,18317,915.85,0,0
5,58625542,mps_alone,1000,18.0,9.024307056,9.39267707,13.121856275999944,15.523728,0,0,0,0.0,0,0
5,58625542,protected_nrx,1000,18.0,8.06504041,11.555293859999997,15.643572298999974,16.675838,0,0,4912,245.6,0,0
5,58625542,uncontrolled_nrx,1000,18.0,10.947592627,11.51381439,13.869645022999954,15.818717,0,0,18215,910.75,0,0
