round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,incorrect_transport_blocks,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,1000,21.0,8.719022977,9.1489464,11.587260445999972,12.758534,0,0,0,0.0,0,0
1,58625542,protected_nrx,1000,21.0,8.033861052,11.70888697,13.157674575999978,14.02738,0,0,9591,383.64,0,0
1,58625542,uncontrolled_nrx,1000,21.0,10.515688484,11.02062282,14.218096226999974,15.327213,0,0,23098,923.92,0,0
2,58625542,mps_alone,1000,21.0,9.014958634,9.38785918,13.00923041899999,13.372286,0,0,0,0.0,0,0
2,58625542,protected_nrx,1000,21.0,8.345355999,8.73127077,12.203369762999994,12.446889,0,0,8974,358.96,0,0
2,58625542,uncontrolled_nrx,1000,21.0,10.901753096,11.51392018,14.62511867899997,15.852569,0,0,23015,920.6,0,0
3,58625542,mps_alone,1000,21.0,8.636159183,8.998408470000001,12.488638796999906,16.394526,0,0,0,0.0,0,0
3,58625542,protected_nrx,1000,21.0,7.949808535,8.277854130000001,10.965150969999968,12.317767,0,0,9789,391.56,0,0
3,58625542,uncontrolled_nrx,1000,21.0,10.699454226,11.26775647,15.38118627899999,15.77607,0,0,23384,935.36,0,0
4,58625542,mps_alone,1000,21.0,8.704528001,9.10272401,12.281189374999997,12.360485,0,0,0,0.0,0,0
4,58625542,protected_nrx,1000,21.0,7.94335433,10.532788789999996,12.904984188999983,13.605472,0,0,9705,388.2,0,0
4,58625542,uncontrolled_nrx,1000,21.0,10.760759273,11.240454849999999,14.596724214999998,14.678857,0,0,23054,922.16,0,0
5,58625542,mps_alone,1000,21.0,8.67685065,9.04039085,12.544826419999936,15.287501,0,0,0,0.0,0,0
5,58625542,protected_nrx,1000,21.0,8.112877878,10.730702039999995,12.744412558999995,12.956759,0,0,9555,382.2,0,0
5,58625542,uncontrolled_nrx,1000,21.0,10.656188857,11.049969719999998,14.51214607599995,16.589143,0,0,23394,935.76,0,0
