round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,incorrect_transport_blocks,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,1000,21.0,9.291340348,9.68092863,12.196212496999925,15.437465,0,0,0,0.0,0,0
1,58625542,protected_gemm,1000,21.0,7.882654783,8.26734244,10.966294106999936,13.673691,0,0,8067,322.68,0,0
1,58625542,protected_hbm,1000,21.0,7.969694038,8.375442529999999,11.937766991999993,12.180516,0,0,10250,410.0,0,0
1,58625542,uncontrolled_gemm,1000,21.0,17.818898097,20.56016055,21.58027471999999,21.987587,6,0,19853,794.12,0,0
1,58625542,uncontrolled_hbm,1000,21.0,23.470851023,25.0496491,30.269221193999968,31.546137,994,0,25246,1009.84,0,0
2,58625542,mps_alone,1000,21.0,8.649081405,9.03359445,12.356254694999933,15.152151,0,0,0,0.0,0,0
2,58625542,protected_gemm,1000,21.0,8.607275363,12.440505099999998,16.331348916999932,19.156438,0,0,7738,309.52,0,0
2,58625542,protected_hbm,1000,21.0,8.044404956,10.880448119999995,12.022832088,12.070872,0,0,10131,405.24,0,0
2,58625542,uncontrolled_gemm,1000,21.0,17.617781553,19.409517599999997,21.747233304999995,22.043242,3,0,19664,786.56,0,0
2,58625542,uncontrolled_hbm,1000,21.0,23.431995697,26.27377258,27.881142125999983,28.6485,978,0,25413,1016.52,0,0
3,58625542,mps_alone,1000,21.0,8.616247311,9.0204228,12.31622954099987,17.752329,0,0,0,0.0,0,0
3,58625542,protected_gemm,1000,21.0,8.126346799,11.992369100000001,14.223189955999983,14.897471,0,0,7901,316.04,0,0
3,58625542,protected_hbm,1000,21.0,8.036785192,11.329922039999998,12.66194315399999,13.023735,0,0,10108,404.32,0,0
3,58625542,uncontrolled_gemm,1000,21.0,17.777490456,20.548708749999996,22.35008329899987,27.964762,8,0,19860,794.4,0,0
3,58625542,uncontrolled_hbm,1000,21.0,23.508893892,24.369928990000002,26.007652867999983,26.691836,991,0,25606,1024.24,0,0
