round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,500,40.0,4.130666346,16.414515009999995,24.758107140999822,28.502923,0,0,0.0,0,0
1,58625542,protected_gemm,500,40.0,3.795407476,14.72815013,19.275519180999904,21.295312,0,15856,634.24,1,0
1,58625542,protected_hbm,500,40.0,3.85032242,10.166324859999998,13.740475992999926,15.287123,0,19985,799.4,0,0
1,58625542,uncontrolled_gemm,500,40.0,6.749827572,13.43511495,16.074316578999973,16.659683,0,20015,800.6,0,0
1,58625542,uncontrolled_hbm,500,40.0,10.23862653,26.838962309999975,34.42553344799987,37.075447,0,26147,1045.88,0,0
2,58625542,mps_alone,500,40.0,4.11334607,15.24995255,21.67459467599994,22.920436,0,0,0.0,0,0
2,58625542,protected_gemm,500,40.0,3.762049794,12.021668279999997,16.776781123999985,17.113668,0,15983,639.32,0,0
2,58625542,protected_hbm,500,40.0,3.679836264,10.2253456,20.05231191699975,25.339924,0,20143,805.72,0,0
2,58625542,uncontrolled_gemm,500,40.0,7.0762431,18.686249079999996,22.09071071599999,22.281187,0,20224,808.96,0,0
2,58625542,uncontrolled_hbm,500,40.0,9.873507644,19.989116089999996,24.617899712999936,26.047142,0,26116,1044.64,0,0
3,58625542,mps_alone,500,40.0,4.117142178,15.749100439999985,20.617544713999926,22.175779,0,0,0.0,0,0
3,58625542,protected_gemm,500,40.0,3.915782872,15.567662759999996,21.70767300599976,26.809452,0,15789,631.56,0,0
3,58625542,protected_hbm,500,40.0,3.750388934,14.737930089999987,27.139292176999987,27.383142,0,20057,802.28,0,0
3,58625542,uncontrolled_gemm,500,40.0,7.132829902,19.275535819999995,22.521400748999987,22.804458,0,20055,802.2,0,0
3,58625542,uncontrolled_hbm,500,40.0,10.229450558,19.67968000999999,21.52133136099997,22.158485,0,26243,1049.72,0,0
4,58625542,mps_alone,500,40.0,3.963037192,12.44567086,18.95360776499986,21.937261,0,0,0.0,0,0
4,58625542,protected_gemm,500,40.0,3.682181812,10.802004289999978,18.199434472999908,20.178954,0,16034,641.36,0,0
4,58625542,protected_hbm,500,40.0,3.750536738,13.70037839,20.16389155399996,20.971051,0,20017,800.68,0,0
4,58625542,uncontrolled_gemm,500,40.0,7.11166889,16.26988498,17.987649924999957,18.862609,0,20276,811.04,0,0
4,58625542,uncontrolled_hbm,500,40.0,10.198033778,24.678420229999997,27.069240630999996,27.176092,0,26128,1045.12,0,0
5,58625542,mps_alone,500,40.0,3.932263062,13.182256139999987,18.731033977999967,19.420142,0,0,0.0,0,0
5,58625542,protected_gemm,500,40.0,3.749568018,10.793562269999997,29.097038445999793,33.438561,0,15972,638.88,0,0
5,58625542,protected_hbm,500,40.0,3.798373064,11.413251449999992,16.891969280999994,17.048047,0,20097,803.88,0,0
5,58625542,uncontrolled_gemm,500,40.0,7.06568929,19.24282361,22.02823314499997,22.686736,0,20043,801.72,0,0
5,58625542,uncontrolled_hbm,500,40.0,9.988343016,21.16589877,26.654237444999993,26.781954,0,26125,1045.0,0,0
