series,workload,partition,metric,unit,raw_value,normalized_vs_1g
sat_compute TFLOPS,sat_compute,1g,tflops,TFLOPS,26.608,1.0
sat_compute TFLOPS,sat_compute,2g,tflops,TFLOPS,73.876,2.776458208057727
sat_compute TFLOPS,sat_compute,3g,tflops,TFLOPS,112.156,4.215123271196632
sat_compute TFLOPS,sat_compute,4g,tflops,TFLOPS,148.144,5.567648827420324
sat_hbm GB/s,sat_hbm,1g,gbps,GB/s,87.3,1.0
sat_hbm GB/s,sat_hbm,2g,gbps,GB/s,174.2,1.995418098510882
sat_hbm GB/s,sat_hbm,3g,gbps,GB/s,351.5,4.026345933562428
sat_hbm GB/s,sat_hbm,4g,gbps,GB/s,346.9,3.9736540664375712
ResNet bs64 img/s,resnet,1g,img_s,img/s,659.0,1.0
ResNet bs64 img/s,resnet,2g,img_s,img/s,1313.8,1.9936267071320182
ResNet bs64 img/s,resnet,3g,img_s,img/s,2189.6,3.3226100151745066
ResNet bs64 img/s,resnet,4g,img_s,img/s,2577.2,3.910773899848255
Forecaster bs64 batch/s,forecaster,1g,batch_s,batch/s,25.84,1.0
Forecaster bs64 batch/s,forecaster,2g,batch_s,batch/s,30.74,1.1896284829721362
Forecaster bs64 batch/s,forecaster,3g,batch_s,batch/s,46.839999999999996,1.8126934984520122
Forecaster bs64 batch/s,forecaster,4g,batch_s,batch/s,59.620000000000005,2.307275541795666
