workload,partition,mode,mean_ms,p99_ms,n_calls
chanpred,2g,with_l1,0.42395046572492634,0.579584002494812,66621
chanpred,2g,with_l1,0.42591413771692066,0.5529599785804749,66527
chanpred,2g,with_l1,0.42539736514272153,0.5754879713058472,66433
chanpred,2g,with_l1,0.4261689968014735,0.5570560097694397,66452
chanpred,2g,with_l1,0.4205641388830933,0.5560320019721985,67085
chanpred,2g,alone,0.4220653942757823,0.4433920085430145,67087
chanpred,2g,alone,0.4232888354633953,0.447488009929657,66988
chanpred,2g,alone,0.4228699810662645,0.4362240135669708,67022
chanpred,2g,alone,0.42081560085668984,0.44646400213241577,67301
chanpred,2g,alone,0.4229374360844518,0.4485119879245758,67024
chanpred,1g,with_l1,0.5782563150286907,0.6113280057907104,49801
chanpred,1g,with_l1,0.5792378883632091,0.6144000291824341,49717
chanpred,1g,with_l1,0.5766783741699774,0.6103039979934692,49932
chanpred,1g,with_l1,0.6001773473866432,0.7065600156784058,47959
chanpred,1g,with_l1,0.5977011813362878,0.7045120000839233,48148
chanpred,1g,alone,0.5786355851940999,0.5939199924468994,49786
chanpred,1g,alone,0.5787241080409972,0.596992015838623,49793
chanpred,1g,alone,0.5770200412910622,0.5928959846496582,49950
chanpred,1g,alone,0.5790508822176819,0.5959680080413818,49733
chanpred,1g,alone,0.5792434612450559,0.5990399718284607,49736
neuralrx,4g,with_l1,0.7681881581683075,0.8744959831237793,37859
neuralrx,4g,with_l1,0.7484453314183366,0.8724480271339417,38857
neuralrx,4g,with_l1,0.7532788503394074,0.8417279720306396,38626
neuralrx,4g,with_l1,0.7565848826416988,0.8417279720306396,38472
neuralrx,4g,with_l1,0.7604881806992138,0.8591359853744507,38183
neuralrx,4g,alone,0.7609200721706595,0.8488960266113281,38228
neuralrx,4g,alone,0.7614576948800252,0.8499199748039246,38181
neuralrx,4g,alone,0.753613617260279,0.8386560082435608,38599
neuralrx,4g,alone,0.7649269773990254,0.8509439826011658,38049
neuralrx,4g,alone,0.7653296160674732,0.8980479836463928,38016
resnet,1g,with_l1,50.1271129920208,50.502655029296875,
resnet,1g,with_l1,50.19749716691747,50.38489532470703,
resnet,1g,with_l1,50.193572372895815,50.374656677246094,
resnet,1g,with_l1,50.16871898230103,50.356224060058594,
resnet,1g,with_l1,50.08218002319336,50.277374267578125,
resnet,1g,alone,50.20730219557134,50.347007751464844,
resnet,1g,alone,50.14958495200677,50.28761672973633,
resnet,1g,alone,50.10146522203551,50.26816177368164,
resnet,1g,alone,50.00881493250529,50.1135368347168,
resnet,1g,alone,50.02025821050008,50.16371154785156,
resnet,2g,with_l1,48.863258678672366,49.01990509033203,
resnet,2g,with_l1,48.822938004160314,49.01375961303711,
resnet,2g,with_l1,48.90842831037562,49.3230094909668,
resnet,2g,with_l1,48.80259282802179,48.974849700927734,
resnet,2g,with_l1,48.817458386925175,49.01171112060547,
resnet,2g,alone,48.77101201623436,48.901119232177734,
resnet,2g,alone,48.77545933917286,48.9062385559082,
resnet,2g,alone,48.76061215284394,48.86937713623047,
resnet,2g,alone,48.75339595515553,48.87859344482422,
resnet,2g,alone,48.77389253445757,48.92057418823242,
qwen,2g,with_l1,22.761387622056347,27.413503646850586,
qwen,2g,with_l1,22.504271121765875,27.039743423461914,
qwen,2g,with_l1,22.396028419946784,24.85759925842285,
qwen,2g,with_l1,22.521751657162074,27.019264221191406,
qwen,2g,with_l1,22.505960668733575,26.460159301757812,
qwen,2g,alone,22.504365374419844,24.95078468322754,
qwen,2g,alone,22.744151435247282,24.574975967407227,
qwen,2g,alone,22.825383556727605,24.51148796081543,
qwen,2g,alone,23.039746140881395,25.49247932434082,
qwen,2g,alone,22.802589246022784,24.947711944580078,
neuralrx,3g,with_l1,0.7784302906070045,0.9349120259284973,37333
neuralrx,3g,with_l1,0.7467830373716987,0.8427519798278809,39038
neuralrx,3g,with_l1,0.7634432298952313,0.8540160059928894,38149
neuralrx,3g,with_l1,0.7640638253131389,0.9318400025367737,38118
neuralrx,3g,with_l1,0.7696493695319093,0.9390079975128174,37750
neuralrx,3g,alone,0.7759761531251916,0.8017920255661011,37527
neuralrx,3g,alone,0.7718823537780133,0.796671986579895,37711
neuralrx,3g,alone,0.7727398722715243,0.7987200021743774,37676
neuralrx,3g,alone,0.7704066285264847,0.792576014995575,37796
neuralrx,3g,alone,0.7727816550654407,0.7976959943771362,37683
neuralrx,2g,with_l1,1.0647820666640424,1.1786240339279175,27504
neuralrx,2g,with_l1,1.0577102955528077,1.112064003944397,27749
neuralrx,2g,with_l1,1.058237023036592,1.1448320150375366,27694
neuralrx,2g,with_l1,1.0496517358609965,1.0762239694595337,27969
neuralrx,2g,with_l1,1.0662229279193538,1.1612160205841064,27530
neuralrx,2g,alone,1.0607264950763187,1.0844160318374634,27661
neuralrx,2g,alone,1.0667267157552616,1.090559959411621,27504
neuralrx,2g,alone,1.0694953111438308,1.0956799983978271,27424
neuralrx,2g,alone,1.0676219929168935,1.090559959411621,27485
neuralrx,2g,alone,1.057961969976771,1.0813440084457397,27738
neuralrx,1g,with_l1,1.6399099752658048,1.721343994140625,18037
neuralrx,1g,with_l1,1.6407048479764497,1.7326079607009888,18020
neuralrx,1g,with_l1,1.6506857619562942,1.7397760152816772,17897
neuralrx,1g,with_l1,1.6390766504630714,1.6732159852981567,18045
neuralrx,1g,with_l1,1.6380795748701429,1.7285120487213135,18028
neuralrx,1g,alone,1.651190173470143,1.6783360242843628,17904
neuralrx,1g,alone,1.6419877959897426,1.6814080476760864,18004
neuralrx,1g,alone,1.6487800253850813,1.6906239986419678,17925
neuralrx,1g,alone,1.6444389038432314,1.6885759830474854,17979
neuralrx,1g,alone,1.6550575634651283,1.6834559440612793,17862
chanpred,4g,with_l1,0.4227920936989608,0.6021119952201843,66696
chanpred,4g,with_l1,0.4225680972204573,0.5580800175666809,66700
chanpred,4g,with_l1,0.4270919472145127,0.5611519813537598,66253
chanpred,4g,with_l1,0.4221116337930216,0.5550079941749573,66790
chanpred,4g,with_l1,0.4246460693098858,0.5744640231132507,66460
chanpred,4g,alone,0.42196738008192536,0.44441598653793335,67079
chanpred,4g,alone,0.4258969366216782,0.449535995721817,66453
chanpred,4g,alone,0.4216201762606178,0.4433920085430145,67101
chanpred,4g,alone,0.4222546983105816,0.48947200179100037,67056
chanpred,4g,alone,0.41706410574349945,0.5560320019721985,67874
qwen,3g,with_l1,21.418406654242894,24.564735412597656,
qwen,3g,with_l1,22.369324525435648,26.469375610351562,
qwen,3g,with_l1,21.84088774411605,25.680896759033203,
qwen,3g,with_l1,22.192453859463942,26.637311935424805,
qwen,3g,with_l1,22.046498408521824,24.365055084228516,
qwen,3g,alone,22.111203958016855,24.458240509033203,
qwen,3g,alone,22.291623499430855,24.1213436126709,
qwen,3g,alone,22.319076413972752,24.411136627197266,
qwen,3g,alone,22.021765395724024,24.010751724243164,
qwen,3g,alone,22.585354833148088,25.033727645874023,
resnet,3g,with_l1,56.623847911042986,56.78694534301758,
resnet,3g,with_l1,56.62019426597739,56.815616607666016,
