workload,partition,batch_size,metric,value,status
chanpred,1g,,pred_s,2038.0,ok
chanpred,1g,,pred_s,2036.0,ok
chanpred,1g,,pred_s,2036.0,ok
chanpred,1g,,pred_s,2038.0,ok
chanpred,1g,,pred_s,2039.0,ok
neuralrx,4g,,inf_s,10.0,ok
neuralrx,4g,,inf_s,10.0,ok
neuralrx,4g,,inf_s,9.0,ok
neuralrx,4g,,inf_s,10.0,ok
neuralrx,4g,,inf_s,10.0,ok
sat_compute,1g,,tflops,26.6,ok
sat_compute,1g,,tflops,26.61,ok
sat_compute,1g,,tflops,26.61,ok
sat_compute,1g,,tflops,26.61,ok
sat_compute,1g,,tflops,26.61,ok
xapp,4g,,inf_s,1840.0,ok
xapp,4g,,inf_s,1858.0,ok
xapp,4g,,inf_s,1849.0,ok
xapp,4g,,inf_s,1842.0,ok
xapp,4g,,inf_s,1823.0,ok
qwen_small,1g,,fit,0.0,failed
qwen_small,1g,,fit,0.0,failed
qwen_small,1g,,fit,0.0,failed
qwen_small,1g,,fit,0.0,failed
qwen_small,1g,,fit,0.0,failed
sat_compute,2g,,tflops,73.88,ok
sat_compute,2g,,tflops,73.87,ok
sat_compute,2g,,tflops,73.91,ok
sat_compute,2g,,tflops,73.86,ok
sat_compute,2g,,tflops,73.86,ok
sat_hbm,2g,,gbps,174.2,ok
sat_hbm,2g,,gbps,174.2,ok
sat_hbm,2g,,gbps,174.2,ok
sat_hbm,2g,,gbps,174.2,ok
sat_hbm,2g,,gbps,174.2,ok
sat_hbm,1g,,gbps,87.3,ok
sat_hbm,1g,,gbps,87.3,ok
sat_hbm,1g,,gbps,87.3,ok
sat_hbm,1g,,gbps,87.3,ok
sat_hbm,1g,,gbps,87.3,ok
neuralrx,1g,,inf_s,9.0,ok
neuralrx,1g,,inf_s,9.0,ok
neuralrx,1g,,inf_s,9.0,ok
neuralrx,1g,,inf_s,9.0,ok
neuralrx,1g,,inf_s,9.0,ok
chanpred,4g,,pred_s,2278.0,ok
chanpred,4g,,pred_s,2284.0,ok
chanpred,4g,,pred_s,2259.0,ok
chanpred,4g,,pred_s,2253.0,ok
chanpred,4g,,pred_s,2277.0,ok
sat_hbm,3g,,gbps,351.5,ok
sat_hbm,3g,,gbps,351.5,ok
sat_hbm,3g,,gbps,351.5,ok
sat_hbm,3g,,gbps,351.5,ok
sat_hbm,3g,,gbps,351.5,ok
qwen7b_decode,4g,,it_s,37.7,ok
qwen7b_decode,4g,,it_s,37.7,ok
qwen7b_decode,4g,,it_s,37.7,ok
qwen7b_decode,4g,,it_s,37.7,ok
qwen7b_decode,4g,,it_s,37.7,ok
sat_compute,3g,,tflops,112.19,ok
sat_compute,3g,,tflops,112.21,ok
sat_compute,3g,,tflops,112.2,ok
sat_compute,3g,,tflops,112.12,ok
sat_compute,3g,,tflops,112.06,ok
xapp,1g,,inf_s,1833.0,ok
xapp,1g,,inf_s,1830.0,ok
xapp,1g,,inf_s,1816.0,ok
xapp,1g,,inf_s,1824.0,ok
xapp,1g,,inf_s,1832.0,ok
sat_compute,4g,,tflops,148.19,ok
sat_compute,4g,,tflops,148.12,ok
sat_compute,4g,,tflops,148.15,ok
sat_compute,4g,,tflops,148.17,ok
sat_compute,4g,,tflops,148.09,ok
qwen_small,4g,,it_s,46.7,ok
qwen_small,4g,,it_s,47.6,ok
qwen_small,4g,,it_s,46.3,ok
qwen_small,4g,,it_s,46.3,ok
qwen_small,4g,,it_s,46.1,ok
qwen7b_prefill,4g,,it_s,13.5,ok
qwen7b_prefill,4g,,it_s,13.51,ok
qwen7b_prefill,4g,,it_s,13.5,ok
qwen7b_prefill,4g,,it_s,13.52,ok
qwen7b_prefill,4g,,it_s,13.51,ok
sat_hbm,4g,,gbps,346.9,ok
sat_hbm,4g,,gbps,346.9,ok
sat_hbm,4g,,gbps,346.9,ok
sat_hbm,4g,,gbps,346.9,ok
sat_hbm,4g,,gbps,346.9,ok
qwen7b_stress,4g,,fit,0.0,failed
qwen7b_stress,4g,,fit,0.0,failed
qwen7b_stress,4g,,fit,0.0,failed
qwen7b_stress,4g,,fit,0.0,failed
qwen7b_stress,4g,,fit,0.0,failed
resnet,4g,64,img_s,2578.0,ok
resnet,4g,64,img_s,2578.0,ok
resnet,4g,64,img_s,2577.0,ok
resnet,4g,64,img_s,2577.0,ok
resnet,4g,64,img_s,2576.0,ok
resnet,2g,64,img_s,1313.0,ok
resnet,2g,64,img_s,1314.0,ok
resnet,2g,64,img_s,1314.0,ok
resnet,2g,64,img_s,1314.0,ok
resnet,2g,64,img_s,1314.0,ok
forecaster,1g,32,batch_s,50.0,ok
forecaster,1g,32,batch_s,50.0,ok
forecaster,1g,32,batch_s,50.0,ok
forecaster,1g,32,batch_s,50.0,ok
forecaster,1g,32,batch_s,50.0,ok
resnet,3g,128,img_s,2263.0,ok
resnet,3g,128,img_s,2263.0,ok
resnet,3g,128,img_s,2263.0,ok
resnet,3g,128,img_s,2263.0,ok
resnet,3g,128,img_s,2263.0,ok
resnet,1g,,it_s,11.8,ok
resnet,1g,,it_s,11.8,ok
resnet,1g,,it_s,11.8,ok
resnet,1g,,it_s,11.8,ok
resnet,1g,,it_s,11.8,ok
forecaster,3g,256,batch_s,12.2,ok
forecaster,3g,256,batch_s,12.2,ok
forecaster,3g,256,batch_s,12.2,ok
forecaster,3g,256,batch_s,12.2,ok
forecaster,3g,256,batch_s,12.2,ok
forecaster,1g,16,batch_s,98.1,ok
forecaster,1g,16,batch_s,98.1,ok
forecaster,1g,16,batch_s,98.2,ok
forecaster,1g,16,batch_s,98.1,ok
forecaster,1g,16,batch_s,98.1,ok
resnet,2g,,it_s,12.2,ok
resnet,2g,,it_s,12.2,ok
resnet,2g,,it_s,12.2,ok
resnet,3g,256,img_s,2319.0,ok
resnet,3g,256,img_s,2319.0,ok
resnet,3g,256,img_s,2319.0,ok
resnet,3g,256,img_s,2319.0,ok
resnet,3g,256,img_s,2319.0,ok
resnet,1g,64,img_s,659.0,ok
resnet,1g,64,img_s,659.0,ok
resnet,1g,64,img_s,659.0,ok
resnet,1g,64,img_s,659.0,ok
resnet,1g,64,img_s,659.0,ok
resnet,3g,64,img_s,2190.0,ok
resnet,3g,64,img_s,2190.0,ok
resnet,3g,64,img_s,2190.0,ok
resnet,3g,64,img_s,2188.0,ok
resnet,3g,64,img_s,2190.0,ok
forecaster,2g,32,batch_s,61.2,ok
forecaster,2g,32,batch_s,61.2,ok
forecaster,2g,32,batch_s,61.2,ok
forecaster,2g,32,batch_s,61.1,ok
forecaster,2g,32,batch_s,61.1,ok
forecaster,3g,128,batch_s,24.1,ok
forecaster,3g,128,batch_s,24.1,ok
forecaster,3g,128,batch_s,24.1,ok
forecaster,3g,128,batch_s,24.1,ok
forecaster,3g,128,batch_s,24.2,ok
resnet,4g,128,img_s,2664.0,ok
resnet,4g,128,img_s,2663.0,ok
resnet,4g,128,img_s,2664.0,ok
resnet,4g,128,img_s,2664.0,ok
resnet,4g,128,img_s,2663.0,ok
forecaster,4g,256,batch_s,16.0,ok
forecaster,4g,256,batch_s,16.0,ok
forecaster,4g,256,batch_s,16.0,ok
forecaster,4g,256,batch_s,16.0,ok
forecaster,4g,256,batch_s,16.0,ok
forecaster,1g,64,batch_s,25.9,ok
forecaster,1g,64,batch_s,25.8,ok
forecaster,1g,64,batch_s,25.9,ok
forecaster,1g,64,batch_s,25.8,ok
forecaster,1g,64,batch_s,25.8,ok
resnet,4g,256,img_s,2723.0,ok
resnet,4g,256,img_s,2723.0,ok
resnet,4g,256,img_s,2723.0,ok
resnet,4g,256,img_s,2722.0,ok
resnet,4g,256,img_s,2723.0,ok
resnet,2g,32,img_s,1273.0,ok
resnet,2g,32,img_s,1274.0,ok
resnet,2g,32,img_s,1272.0,ok
resnet,2g,32,img_s,1274.0,ok
resnet,2g,32,img_s,1274.0,ok
forecaster,4g,128,batch_s,30.8,ok
forecaster,4g,128,batch_s,30.8,ok
forecaster,4g,128,batch_s,30.8,ok
forecaster,4g,128,batch_s,30.8,ok
forecaster,4g,128,batch_s,30.8,ok
forecaster,3g,64,batch_s,46.8,ok
forecaster,3g,64,batch_s,46.9,ok
forecaster,3g,64,batch_s,46.9,ok
forecaster,3g,64,batch_s,46.8,ok
forecaster,3g,64,batch_s,46.8,ok
forecaster,4g,64,batch_s,59.6,ok
forecaster,4g,64,batch_s,59.6,ok
forecaster,4g,64,batch_s,59.6,ok
forecaster,4g,64,batch_s,59.7,ok
forecaster,4g,64,batch_s,59.6,ok
resnet,2g,128,img_s,1347.0,ok
resnet,2g,128,img_s,1347.0,ok
resnet,2g,128,img_s,1347.0,ok
resnet,2g,128,img_s,1347.0,ok
resnet,2g,128,img_s,1347.0,ok
forecaster,2g,128,batch_s,16.0,ok
forecaster,2g,128,batch_s,16.0,ok
forecaster,2g,128,batch_s,16.0,ok
forecaster,2g,128,batch_s,16.0,ok
forecaster,2g,128,batch_s,16.0,ok
forecaster,2g,64,batch_s,30.8,ok
forecaster,2g,64,batch_s,30.7,ok
forecaster,2g,64,batch_s,30.7,ok
forecaster,2g,64,batch_s,30.8,ok
forecaster,2g,64,batch_s,30.7,ok
