workload,mode,metric,value
neuralrx,with_l1,inf_s,9.0
neuralrx,with_l1,inf_s,9.0
neuralrx,with_l1,inf_s,9.0
neuralrx,with_l1,inf_s,9.0
neuralrx,with_l1,inf_s,9.0
qwen_small,with_l1,it_s,46.6
qwen_small,with_l1,it_s,46.9
qwen_small,with_l1,it_s,47.3
qwen_small,with_l1,it_s,48.1
qwen_small,with_l1,it_s,47.0
xapp,with_l1,inf_s,1850.0
xapp,with_l1,inf_s,1867.0
xapp,with_l1,inf_s,1890.0
xapp,with_l1,inf_s,1852.0
xapp,with_l1,inf_s,1839.0
xapp,alone,inf_s,1822.0
xapp,alone,inf_s,1811.0
xapp,alone,inf_s,1811.0
xapp,alone,inf_s,1820.0
xapp,alone,inf_s,1836.0
neuralrx,alone,inf_s,9.0
neuralrx,alone,inf_s,9.0
neuralrx,alone,inf_s,9.0
neuralrx,alone,inf_s,9.0
neuralrx,alone,inf_s,9.0
qwen_small,alone,it_s,46.3
qwen_small,alone,it_s,46.5
qwen_small,alone,it_s,47.3
qwen_small,alone,it_s,46.3
qwen_small,alone,it_s,47.0
chanpred,alone,pred_s,2247.0
chanpred,alone,pred_s,2238.0
chanpred,alone,pred_s,2255.0
chanpred,alone,pred_s,2250.0
chanpred,alone,pred_s,2254.0
chanpred,with_l1,pred_s,2253.0
chanpred,with_l1,pred_s,2254.0
chanpred,with_l1,pred_s,2258.0
chanpred,with_l1,pred_s,2245.0
chanpred,with_l1,pred_s,2248.0
