scenario,alone_p99_ms,multi_p99_ms,p99_delta_pct
M10a_4gL1_sat_compute,40.8636,38.5376,-5.692107401207924
M10b_4gL1_neuralrx,39.1996,40.6924,3.8082021245114728
M10c_4gL1_resnet,40.4358,39.984,-1.1173267253275498
M11a_2gL1_sat_compute,52.1146,53.0616,1.8171491290348563
M11b_2gL1_neuralrx,55.3184,50.9166,-7.957207728350779
M11c_2gL1_resnet,51.9458,53.3956,2.7909859892426336
M12a_3gL1_sat_resnet,38.4328,38.6818,0.6478840989987855
M12b_3gL1_sat_neurarx,38.6276,38.9894,0.9366359804906299
M5a_3wbal_sat_compute,39.2862,39.6166,0.8410077839037466
M5b_3wbal_sat_hbm,38.4258,38.5432,0.30552389280118497
M5c_3wbal_het_resnet_cp,41.0188,37.7724,-7.914419729489897
M6a_3wasym_sat,40.9818,39.9288,-2.569433260618126
M6b_3wasym_het,40.7242,40.204,-1.2773731589570847
M7a_4w_sat_compute,38.657599999999995,39.189,1.3746326724887403
M7b_4w_het_3AI,39.7904,38.3074,-3.727029635288903
M8a_3wbal_resnet_fore,38.6948,38.9822,0.7427354579943479
M8b_3wasym_resnet_fore,40.4828,40.443,-0.09831335777169548
M8c_4w_diverse_AIRAN,40.3856,39.4304,-2.365199477041313
