condition,kernel_or_copy,count,median_us,p99_post_gap_us,max_post_gap_ms
L1 2g alone,convert_kernel,7728,78.1,1605,117.2
L1 2g alone,copy complex64_complex64,19200,3.0,136,74.6
L1 2g alone,copy float32_float32,5760,1.6,328,39.6
L1 2g + NeuralRx,convert_kernel,7728,78.0,1922,120.8
L1 2g + NeuralRx,copy complex64_complex64,19200,3.0,140,96.4
L1 2g + NeuralRx,copy float32_float32,5760,1.6,344,6.0
L1 3g + ChanPred,convert_kernel,7728,79.4,871,118.9
L1 3g + ChanPred,copy complex64_complex64,19200,2.7,144,90.0
L1 3g + ChanPred,copy float32_float32,5760,1.6,302,4.6
L1 3g + ResNet+ChanPred,convert_kernel,7728,79.4,1006,114.8
L1 3g + ResNet+ChanPred,copy complex64_complex64,19200,2.7,141,73.3
L1 3g + ResNet+ChanPred,copy float32_float32,5760,1.6,275,1.5
L1 3g + ResNet+Forecaster,convert_kernel,7728,79.4,986,112.2
L1 3g + ResNet+Forecaster,copy complex64_complex64,19200,2.7,135,73.7
L1 3g + ResNet+Forecaster,copy float32_float32,5760,1.6,272,0.5
L1 2g + ChanPred,convert_kernel,7728,78.0,1420,120.6
L1 2g + ChanPred,copy complex64_complex64,19200,3.0,128,73.7
L1 2g + ChanPred,copy float32_float32,5760,1.6,273,2.4
L1 3g alone,convert_kernel,7728,79.4,828,120.6
L1 3g alone,copy complex64_complex64,19200,2.7,142,74.0
L1 3g alone,copy float32_float32,5760,1.6,283,4.0
L1 3g + NeuralRx,convert_kernel,7728,79.4,1380,110.0
L1 3g + NeuralRx,copy complex64_complex64,19200,2.7,126,76.3
L1 3g + NeuralRx,copy float32_float32,5760,1.6,330,4.1
