scenario,condition,op,count,duration_ms,bytes_mb
S10_2g_alone,L1 2g alone,Device-to-Device,7,0.0,0.0
S10_2g_alone,L1 2g alone,memset,1920,814.5,301433.1
S12_2g_2AI,L1 2g + 2 AI,Device-to-Device,7,0.0,0.0
S12_2g_2AI,L1 2g + 2 AI,memset,1920,813.7,301433.1
S13_3g_sat_compute,L1 3g + GEMM/sat-compute,Device-to-Device,7,0.0,0.0
S13_3g_sat_compute,L1 3g + GEMM/sat-compute,memset,1920,408.1,301433.1
S14_3g_sat_hbm,L1 3g + HBM saturation,Device-to-Device,7,0.0,0.0
S14_3g_sat_hbm,L1 3g + HBM saturation,memset,1920,407.8,301433.1
S15_4g_sat_compute,L1 4g + GEMM/sat-compute,Device-to-Device,7,0.0,0.0
S15_4g_sat_compute,L1 4g + GEMM/sat-compute,memset,1920,407.3,301433.1
S17_2g_sat_compute,L1 2g + GEMM/sat-compute,Device-to-Device,7,0.0,0.0
S17_2g_sat_compute,L1 2g + GEMM/sat-compute,memset,1920,814.0,301433.1
S18_4g_neuralrx,L1 4g + NeuralRx,Device-to-Device,7,0.0,0.0
S18_4g_neuralrx,L1 4g + NeuralRx,memset,1920,407.5,301433.1
S21_4g_2sat,L1 4g + 2 synthetic stressors,Device-to-Device,7,0.0,0.0
S21_4g_2sat,L1 4g + 2 synthetic stressors,memset,1920,407.4,301433.1
S22_2g_neuralrx,L1 2g + NeuralRx,Device-to-Device,7,0.0,0.0
S22_2g_neuralrx,L1 2g + NeuralRx,memset,1920,813.8,301433.1
S24_3g_2sat,L1 3g + 2 synthetic stressors,Device-to-Device,7,0.0,0.0
S24_3g_2sat,L1 3g + 2 synthetic stressors,memset,1920,407.8,301433.1
S26_4g_3sat,L1 4g + 3 synthetic stressors,Device-to-Device,7,0.0,0.0
S26_4g_3sat,L1 4g + 3 synthetic stressors,memset,1920,407.5,301433.1
S27_3g_chanpred,L1 3g + ChanPred,Device-to-Device,7,0.0,0.0
S27_3g_chanpred,L1 3g + ChanPred,memset,1920,408.1,301433.1
S28_3g_resnet,L1 3g + ResNet,Device-to-Device,7,0.0,0.0
S28_3g_resnet,L1 3g + ResNet,memset,1920,407.6,301433.1
S29_3g_forecaster,L1 3g + Forecaster,Device-to-Device,7,0.0,0.0
S29_3g_forecaster,L1 3g + Forecaster,memset,1920,408.1,301433.1
S2_7g_mig,L1 7g MIG alone,Device-to-Device,7,0.0,0.0
S2_7g_mig,L1 7g MIG alone,memset,1920,207.4,301433.1
S30_3g_xapp,L1 3g + XApp,Device-to-Device,7,0.0,0.0
S30_3g_xapp,L1 3g + XApp,memset,1920,407.5,301433.1
S31_3g_resnet_chanpred,L1 3g + ResNet+ChanPred,Device-to-Device,7,0.0,0.0
S31_3g_resnet_chanpred,L1 3g + ResNet+ChanPred,memset,1920,407.9,301433.1
S32_3g_resnet_forecaster,L1 3g + ResNet+Forecaster,Device-to-Device,7,0.0,0.0
S32_3g_resnet_forecaster,L1 3g + ResNet+Forecaster,memset,1920,407.8,301433.1
S33_4g_chanpred,L1 4g + ChanPred,Device-to-Device,7,0.0,0.0
S33_4g_chanpred,L1 4g + ChanPred,memset,1920,407.3,301433.1
S34_4g_resnet,L1 4g + ResNet,Device-to-Device,7,0.0,0.0
S34_4g_resnet,L1 4g + ResNet,memset,1920,407.7,301433.1
S35_2g_chanpred,L1 2g + ChanPred,Device-to-Device,7,0.0,0.0
S35_2g_chanpred,L1 2g + ChanPred,memset,1920,813.9,301433.1
S36_4g_forecaster,L1 4g + Forecaster,Device-to-Device,7,0.0,0.0
S36_4g_forecaster,L1 4g + Forecaster,memset,1920,406.9,301433.1
S5_3g_alone,L1 3g alone,Device-to-Device,7,0.0,0.0
S5_3g_alone,L1 3g alone,memset,1920,408.2,301433.1
S6_3g_qwen,L1 3g + Qwen,Device-to-Device,7,0.0,0.0
S6_3g_qwen,L1 3g + Qwen,memset,1920,408.0,301433.1
S7_3g_neuralrx,L1 3g + NeuralRx,Device-to-Device,7,0.0,0.0
S7_3g_neuralrx,L1 3g + NeuralRx,memset,1920,407.8,301433.1
S9_3g_3AI_1g,L1 3g + 3 AI on 1g slices,Device-to-Device,7,0.0,0.0
S9_3g_3AI_1g,L1 3g + 3 AI on 1g slices,memset,1920,407.6,301433.1
