condition,transition,count,p50_gap_us,p99_gap_us,max_gap_ms,mean_mem_us_inside,mean_mem_fraction
L1 2g alone,convert_kernel -> copy_complex64,3,115527.7,117223.8,117.2,10.9,0.0%
L1 2g alone,convert_kernel -> noise_intf_est,32,1521.6,91139.1,91.1,117.0,7.9%
L1 2g alone,convert_kernel -> copy_float16,3,75758.1,82150.5,82.2,0.0,0.0%
L1 2g alone,copy_complex64 -> copy_float32,6,74224.4,74585.8,74.6,0.0,0.0%
L1 2g alone,ch_est_filter -> copy_complex64,3,72985.4,74243.3,74.2,0.0,0.0%
L1 2g alone,convert_kernel -> convert_kernel,6,70051.6,72895.1,72.9,32.6,0.0%
L1 2g alone,copy_float32 -> convert_kernel,26,2005.4,39580.4,39.6,0.0,0.0%
L1 2g alone,convert_kernel -> eq_coef,26,3426.3,37847.1,37.8,32.1,1.4%
L1 2g alone,copy_complex64 -> convert_kernel,40,1765.0,6355.1,6.4,0.0,0.0%
L1 2g alone,convert_kernel -> ch_est_pre,1920,1277.5,2390.5,5.2,1257.7,93.1%
L1 2g alone,copy_complex64 -> copy_complex64,2,819.6,819.6,0.8,0.0,0.0%
L1 2g alone,copy_float32 -> copy_complex64,1,790.0,790.0,0.8,2.0,0.3%
L1 2g + 2 AI,convert_kernel -> copy_complex64,3,115883.2,119042.1,119.0,10.6,0.0%
L1 2g + 2 AI,convert_kernel -> eq_coef,1,83979.3,83979.3,84.0,43.1,0.1%
L1 2g + 2 AI,ch_est_filter -> copy_complex64,3,73544.6,79233.8,79.2,0.0,0.0%
L1 2g + 2 AI,convert_kernel -> copy_float16,3,76515.0,77240.1,77.2,0.0,0.0%
L1 2g + 2 AI,convert_kernel -> convert_kernel,6,70056.3,74546.1,74.5,30.9,0.0%
L1 2g + 2 AI,copy_complex64 -> copy_float32,6,71991.2,73047.9,73.0,0.0,0.0%
L1 2g + 2 AI,copy_complex64 -> convert_kernel,6,1144.6,2788.6,2.8,0.0,0.0%
L1 2g + 2 AI,noise_intf_est -> copy_complex64,3,1868.4,2504.9,2.5,0.0,0.0%
L1 2g + 2 AI,convert_kernel -> ch_est_pre,1920,1278.8,1573.0,1.9,1262.8,93.7%
L1 2g + 2 AI,copy_float32 -> convert_kernel,1,1285.5,1285.5,1.3,0.0,0.0%
L1 2g + 2 AI,copy_complex64 -> copy_complex64,1,551.8,551.8,0.6,0.0,0.0%
L1 3g + GEMM/sat-compute,convert_kernel -> copy_complex64,3,116014.4,116287.2,116.3,9.8,0.0%
L1 3g + GEMM/sat-compute,convert_kernel -> copy_float16,3,76102.0,77365.4,77.4,0.0,0.0%
L1 3g + GEMM/sat-compute,ch_est_filter -> copy_complex64,3,74206.8,75720.8,75.7,0.0,0.0%
L1 3g + GEMM/sat-compute,copy_complex64 -> copy_float32,6,72829.3,73420.6,73.4,0.0,0.0%
L1 3g + GEMM/sat-compute,convert_kernel -> convert_kernel,6,68839.5,69891.6,69.9,26.9,0.0%
L1 3g + GEMM/sat-compute,convert_kernel -> ch_est_pre,1920,690.4,1011.5,2.7,679.7,89.3%
L1 3g + GEMM/sat-compute,noise_intf_est -> copy_complex64,2,1000.5,1000.5,1.0,0.0,0.0%
L1 3g + GEMM/sat-compute,copy_float32 -> convert_kernel,2,770.0,770.0,0.8,0.0,0.0%
L1 3g + GEMM/sat-compute,copy_complex64 -> convert_kernel,4,589.2,732.9,0.7,0.0,0.0%
L1 3g + GEMM/sat-compute,convert_kernel -> noise_intf_est,3,530.5,616.2,0.6,59.7,10.8%
L1 3g + GEMM/sat-compute,copy_complex64 -> copy_complex64,1,538.4,538.4,0.5,0.0,0.0%
L1 3g + HBM saturation,convert_kernel -> copy_complex64,3,115483.7,118189.4,118.2,10.2,0.0%
L1 3g + HBM saturation,convert_kernel -> noise_intf_est,14,1161.2,96418.1,96.4,61.9,6.3%
L1 3g + HBM saturation,ch_est_filter -> copy_complex64,3,77040.4,77335.6,77.3,0.0,0.0%
L1 3g + HBM saturation,copy_complex64 -> copy_float32,7,70560.4,75303.1,75.3,0.0,0.0%
L1 3g + HBM saturation,convert_kernel -> copy_float16,3,74474.8,75277.3,75.3,0.0,0.0%
L1 3g + HBM saturation,convert_kernel -> convert_kernel,6,69507.8,70014.9,70.0,27.9,0.0%
L1 3g + HBM saturation,copy_float32 -> convert_kernel,12,930.5,2699.6,2.7,0.0,0.0%
L1 3g + HBM saturation,copy_complex64 -> convert_kernel,14,816.1,2622.7,2.6,0.0,0.0%
L1 3g + HBM saturation,convert_kernel -> eq_coef,7,1273.0,1996.8,2.0,17.8,1.7%
L1 3g + HBM saturation,convert_kernel -> ch_est_pre,1920,693.2,994.0,2.5,682.4,89.3%
