scenario,condition,op,runs,count,duration_ms,bytes_mb
S10_2g_alone,L1 2g alone,memcpy,3,6433,81.6,870.9
S10_2g_alone,L1 2g alone,memset,3,1920,814.5,301433.1
S28_3g_resnet,L1 3g + ResNet,memcpy,3,6433,155.2,870.9
S28_3g_resnet,L1 3g + ResNet,memset,3,1920,407.6,301433.1
S2_7g_mig,L1 7g MIG alone,memcpy,3,6433,82.2,870.9
S2_7g_mig,L1 7g MIG alone,memset,3,1920,207.4,301433.1
S31_3g_resnet_chanpred,L1 3g + ResNet+ChanPred,memcpy,3,6433,103.5,870.9
S31_3g_resnet_chanpred,L1 3g + ResNet+ChanPred,memset,3,1920,407.9,301433.1
S32_3g_resnet_forecaster,L1 3g + ResNet+Forecaster,memcpy,3,6433,140.4,870.9
S32_3g_resnet_forecaster,L1 3g + ResNet+Forecaster,memset,3,1920,407.8,301433.1
S34_4g_resnet,L1 4g + ResNet,memcpy,3,6433,79.5,870.9
S34_4g_resnet,L1 4g + ResNet,memset,3,1920,407.7,301433.1
S35_2g_chanpred,L1 2g + ChanPred,memcpy,3,6433,48.9,870.9
S35_2g_chanpred,L1 2g + ChanPred,memset,3,1920,813.9,301433.1
S5_3g_alone,L1 3g alone,memcpy,3,6433,46.8,870.9
S5_3g_alone,L1 3g alone,memset,3,1920,408.2,301433.1
S7_3g_neuralrx,L1 3g + NeuralRx,memcpy,3,6433,195.1,870.9
S7_3g_neuralrx,L1 3g + NeuralRx,memset,3,1920,407.8,301433.1
