config,pct,mean_ms,p95_ms,p99_ms,qwen_iters,qwen_itps,notes
config5,-,38.958,39.368,39.416,,,
config6,-,108.128,108.500,108.604,,,
config1,-,105.725,106.041,106.127,722,10.23,
config3,-,105.859,106.109,106.476,722,10.23,
config2,30,205.327,210.017,210.109,567,8.05,
config2,50,207.511,210.335,214.291,792,11.29,
config2,70,218.211,221.064,221.323,1221,17.38,
config2,100,291.961,393.196,395.608,1705,21.26,
config4,-,111.865,112.808,113.119,515,10.23,
config7,-,109.686,110.630,110.827,516,10.23,
config4_rdma,-,111.097,111.586,111.664,825,10.22,
config7_rdma,-,111.375,111.694,111.802,825,10.23,
config4_gdr,-,109.687,109.861,110.223,825,10.23,
config7_gdr,-,109.526,109.778,110.349,825,10.23,
